method,dataset,seed,alpha,temperature,tau_hat,test_accepted_loss_mass,test_selective_risk,test_coverage,test_selective_acc,violation_gap,violated,auroc,aupr
Energy,cifar100,789,0.01,1.0,0.49009108543395996,0.004594006575644016,0.018667235794904414,0.24609999358654022,0.9817147501015847,0.0,False,0.8559134570247302,0.6309632894788475
Energy,cifar100,789,0.02,1.0,0.3813813626766205,0.013663549907505512,0.03306764231531341,0.4131999909877777,0.968054211035818,0.0,False,0.8559134570247302,0.6309632894788475
Energy,cifar100,789,0.05,1.0,0.26067623496055603,0.03924483805894852,0.06799174709941312,0.5771999955177307,0.9369369369369369,0.0,False,0.8559134570247302,0.6309632894788475
Energy,cifar100,789,0.1,1.0,0.1625201255083084,0.08594471961259842,0.12132230443109031,0.7084000110626221,0.8935629587803501,0.0,False,0.8559134570247302,0.6309632894788475
Energy,cifar100,789,0.15,1.0,0.09939251840114594,0.14182519912719727,0.17524427939268503,0.8093000054359436,0.8532064747312492,0.0,False,0.8559134570247302,0.6309632894788475
Energy,cifar100,789,0.2,1.0,0.06671944260597229,0.1880149394273758,0.21516930808680476,0.8737999796867371,0.8237582970931563,0.0,False,0.8559134570247302,0.6309632894788475
