tau,risk,coverage,selective_acc
0.3,0.0014037739019840956,0.9977999925613403,1.0
0.3263157894736842,0.0014031196478754282,0.9973999857902527,1.0
0.3526315789473684,0.0014031196478754282,0.9973999857902527,1.0
0.3789473684210526,0.0014024205738678575,0.9968000054359436,1.0
0.4052631578947368,0.0014018715592101216,0.996399998664856,1.0
0.43157894736842106,0.0014018715592101216,0.996399998664856,1.0
0.45789473684210524,0.0014018715592101216,0.996399998664856,1.0
0.4842105263157894,0.0014016092754900455,0.9962000250816345,1.0
0.5105263157894737,0.001400859677232802,0.9955999851226807,1.0
0.5368421052631579,0.001400711014866829,0.9954000115394592,1.0
0.5631578947368421,0.0014000401133671403,0.9947999715805054,1.0
0.5894736842105264,0.0013997701462358236,0.9945999979972839,1.0
0.6157894736842104,0.001399572123773396,0.9944000244140625,1.0
0.6421052631578947,0.001398933702148497,0.9937999844551086,1.0
0.6684210526315789,0.0013981375377625227,0.9929999709129333,1.0
0.6947368421052631,0.00139755813870579,0.9923999905586243,1.0
0.7210526315789474,0.0013955107424408197,0.9908000230789185,1.0
0.7473684210526315,0.0013950574211776257,0.9904000163078308,1.0
0.7736842105263158,0.0013934472808614373,0.9886000156402588,1.0
0.8,0.001392629463225603,0.9876000285148621,1.0
