alpha,tau,accepted_loss_mass,selective_risk,coverage,feasible
0.01,0.9550000000000001,0.0036522529553622007,0.006839424837380648,0.5339999794960022,True
0.02,0.09,0.01980273425579071,0.02313944138586521,0.8557999730110168,True
0.05,0.005,0.02439393661916256,0.0276324599981308,0.8827999830245972,True
0.1,0.0,0.07901252061128616,0.07901252061128616,1.0,True
0.15,0.0,0.07968423515558243,0.07968423515558243,1.0,True
0.2,0.0,0.08028756827116013,0.08028756827116013,1.0,True
