tau,risk,coverage,selective_acc
0.3,0.001353720435872674,0.9976000189781189,1.0
0.3263157894736842,0.001353720435872674,0.9976000189781189,1.0
0.3526315789473684,0.001353433821350336,0.9973999857902527,1.0
0.3789473684210526,0.001353433821350336,0.9973999857902527,1.0
0.4052631578947368,0.001353433821350336,0.9973999857902527,1.0
0.43157894736842106,0.001353433821350336,0.9973999857902527,1.0
0.45789473684210524,0.001353113679215312,0.9972000122070312,1.0
0.4842105263157894,0.0013527851551771164,0.996999979019165,1.0
0.5105263157894737,0.0013527851551771164,0.996999979019165,1.0
0.5368421052631579,0.001352294348180294,0.9965999722480774,1.0
0.5631578947368421,0.001352294348180294,0.9965999722480774,1.0
0.5894736842105264,0.001352294348180294,0.9965999722480774,1.0
0.6157894736842104,0.0013519084313884377,0.996399998664856,1.0
0.6421052631578947,0.001351643935777247,0.9962000250816345,1.0
0.6684210526315789,0.0013513233279809356,0.9959999918937683,1.0
0.6947368421052631,0.0013510709395632148,0.9958000183105469,1.0
0.7210526315789474,0.0013502836227416992,0.9947999715805054,1.0
0.7473684210526315,0.0013489837292581797,0.993399977684021,1.0
0.7736842105263158,0.0013484314549714327,0.9926000237464905,1.0
0.8,0.0013477946631610394,0.9919999837875366,1.0
