alpha,tau,risk,coverage,feasible
0.05,0.3,0.0013502498622983694,0.9972000122070312,True
0.1,0.3,0.0013542379019781947,0.9990000128746033,True
0.15,0.3,0.001352460589259863,0.9977999925613403,True
0.2,0.3,0.0013494602171704173,0.998199999332428,True
