threshold,id_accept_rate,ood_accept_rate,dar
0.0,1.0,1.0,1.0
0.02,0.9998000264167786,0.1057160422205925,0.1057160422205925
0.04,0.9998000264167786,0.09023509174585342,0.09023509174585342
0.06,0.9998000264167786,0.08170712739229202,0.08170712739229202
0.08,0.9998000264167786,0.07613705843687057,0.07613705843687057
0.1,0.9995999932289124,0.07244929671287537,0.07244929671287537
0.12,0.9994000196456909,0.06895359605550766,0.06895359605550766
0.14,0.9991999864578247,0.0661877691745758,0.0661877691745758
0.16,0.9990000128746033,0.06403657048940659,0.06403657048940659
0.18,0.9983999729156494,0.06223110109567642,0.06223110109567642
0.2,0.998199999332428,0.06054087355732918,0.06054087355732918
0.22,0.9980000257492065,0.058850646018981934,0.058850646018981934
0.24,0.9980000257492065,0.05716041848063469,0.05716041848063469
0.26,0.9980000257492065,0.05577750504016876,0.05577750504016876
0.28,0.9980000257492065,0.054279349744319916,0.054279349744319916
0.3,0.9977999925613403,0.0537799634039402,0.0537799634039402
0.32,0.9977999925613403,0.05266594886779785,0.05266594886779785
0.34,0.9977999925613403,0.0515519343316555,0.0515519343316555
0.36,0.9976000189781189,0.05066840723156929,0.05066840723156929
0.38,0.9976000189781189,0.04993853718042374,0.04993853718042374
0.4,0.9976000189781189,0.049093425273895264,0.049093425273895264
0.42,0.9973999857902527,0.047979410737752914,0.047979410737752914
0.44,0.9973999857902527,0.046903811395168304,0.046903811395168304
0.46,0.9972000122070312,0.045712970197200775,0.045712970197200775
0.48,0.9972000122070312,0.044752612709999084,0.044752612709999084
0.5,0.9972000122070312,0.04398432746529579,0.04398432746529579
0.52,0.9972000122070312,0.0432160422205925,0.0432160422205925
0.54,0.9965999722480774,0.042524583637714386,0.042524583637714386
0.56,0.9965999722480774,0.04206361249089241,0.04206361249089241
0.58,0.9958000183105469,0.041487399488687515,0.041487399488687515
0.6,0.9958000183105469,0.040527042001485825,0.040527042001485825
0.62,0.9954000115394592,0.03979717195034027,0.03979717195034027
0.64,0.995199978351593,0.03906730189919472,0.03906730189919472
0.66,0.9950000047683716,0.03803011775016785,0.03803011775016785
0.68,0.9947999715805054,0.037146590650081635,0.037146590650081635
0.7000000000000001,0.9944000244140625,0.03630147501826286,0.03630147501826286
0.72,0.9940000176429749,0.03545636311173439,0.03545636311173439
0.74,0.993399977684021,0.03464966267347336,0.03464966267347336
0.76,0.9929999709129333,0.033919792622327805,0.033919792622327805
0.78,0.9918000102043152,0.03334357589483261,0.03334357589483261
0.8,0.991599977016449,0.03230639174580574,0.03230639174580574
0.8200000000000001,0.9905999898910522,0.03138444945216179,0.03138444945216179
0.84,0.989799976348877,0.03023202158510685,0.03023202158510685
0.86,0.9882000088691711,0.02919483743607998,0.02919483743607998
0.88,0.9873999953269958,0.027735095471143723,0.027735095471143723
0.9,0.98580002784729,0.026697909459471703,0.026697909459471703
0.92,0.9836000204086304,0.025238167494535446,0.025238167494535446
0.9400000000000001,0.9800000190734863,0.023394284769892693,0.023394284769892693
0.96,0.0,0.0,0.0
0.98,0.0,0.0,0.0
1.0,0.0,0.0,0.0
