tau,coverage,accepted_loss_mass,selective_risk,selective_acc,abstention_rate,risk
0.0,1.0,0.08014700561761856,0.08014700561761856,0.9259999990463257,0.0,0.08014700561761856
0.005,0.8773999810218811,0.025732440873980522,0.029328061267733574,0.9721905589103699,0.1226000189781189,0.029328061267733574
0.01,0.8708000183105469,0.024096326902508736,0.027671482414007187,0.9738171696662903,0.12919998168945312,0.027671482414007187
0.015,0.8673999905586243,0.02327236346900463,0.026830025017261505,0.9746368527412415,0.13260000944137573,0.026830025017261505
0.02,0.8651999831199646,0.022660519927740097,0.026191076263785362,0.9752658605575562,0.1348000168800354,0.026191076263785362
0.025,0.8632000088691711,0.02245238982141018,0.026010645553469658,0.9754402041435242,0.13679999113082886,0.026010645553469658
0.03,0.8619999885559082,0.02185114286839962,0.02534935437142849,0.9761021137237549,0.1380000114440918,0.02534935437142849
0.035,0.8614000082015991,0.021251792088150978,0.024671223014593124,0.976781964302063,0.13859999179840088,0.024671223014593124
0.04,0.8604000210762024,0.021247074007987976,0.0246944148093462,0.9767550230026245,0.1395999789237976,0.0246944148093462
0.045,0.8587999939918518,0.021041421219706535,0.024500956758856773,0.9769445657730103,0.1412000060081482,0.024500956758856773
0.05,0.8579999804496765,0.02103789709508419,0.024519693106412888,0.9769230484962463,0.1420000195503235,0.024519693106412888
0.055,0.8568000197410583,0.020834043622016907,0.02431611157953739,0.9771241545677185,0.14319998025894165,0.02431611157953739
0.06,0.8555999994277954,0.02023373730480671,0.023648593574762344,0.9777933359146118,0.1444000005722046,0.023648593574762344
0.065,0.8543999791145325,0.020227178931236267,0.02367413230240345,0.9777621626853943,0.14560002088546753,0.02367413230240345
0.07,0.8528000116348267,0.020020781084895134,0.023476526141166687,0.9779549837112427,0.14719998836517334,0.023476526141166687
0.075,0.8521999716758728,0.020018335431814194,0.023490184918045998,0.9779394268989563,0.1478000283241272,0.023490184918045998
0.08,0.8518000245094299,0.020016292110085487,0.023498816415667534,0.9779291152954102,0.14819997549057007,0.023498816415667534
0.085,0.8511999845504761,0.020013025030493736,0.02351154200732708,0.9779135584831238,0.14880001544952393,0.02351154200732708
0.09,0.8503999710083008,0.020009778439998627,0.023529842495918274,0.9778927564620972,0.14960002899169922,0.023529842495918274
0.095,0.8497999906539917,0.02000732347369194,0.023543566465377808,0.977877140045166,0.1502000093460083,0.023543566465377808
0.1,0.849399983882904,0.019806668162345886,0.023318422958254814,0.9781022071838379,0.15060001611709595,0.023318422958254814
0.105,0.8492000102996826,0.019606897607445717,0.023088669404387474,0.97833251953125,0.15079998970031738,0.023088669404387474
0.11,0.8479999899864197,0.019401686266064644,0.02287934720516205,0.9785377383232117,0.15200001001358032,0.02287934720516205
0.115,0.847000002861023,0.019397392868995667,0.022901291027665138,0.9785124063491821,0.15299999713897705,0.022901291027665138
0.12,0.8464000225067139,0.019395148381590843,0.02291487343609333,0.9784971475601196,0.15359997749328613,0.02291487343609333
0.125,0.84579998254776,0.019392846152186394,0.022928407415747643,0.9784818887710571,0.15420001745224,0.022928407415747643
0.13,0.84579998254776,0.019392846152186394,0.022928407415747643,0.9784818887710571,0.15420001745224,0.022928407415747643
0.135,0.8452000021934509,0.01938968151807785,0.02294093929231167,0.9784666299819946,0.15479999780654907,0.02294093929231167
0.14,0.8447999954223633,0.019387399777770042,0.02294909954071045,0.978456437587738,0.15520000457763672,0.02294909954071045
0.145,0.8446000218391418,0.019386515021324158,0.022953486070036888,0.9784513115882874,0.15539997816085815,0.022953486070036888
0.15,0.843999981880188,0.0193845983594656,0.02296753227710724,0.9784359931945801,0.156000018119812,0.02296753227710724
0.155,0.843999981880188,0.0193845983594656,0.02296753227710724,0.9784359931945801,0.156000018119812,0.02296753227710724
0.16,0.8434000015258789,0.01938258670270443,0.022981487214565277,0.9784206748008728,0.1565999984741211,0.022981487214565277
0.165,0.8432000279426575,0.019382061436772346,0.022986317053437233,0.9784155488014221,0.15679997205734253,0.022986317053437233
0.17,0.8428000211715698,0.019380532205104828,0.022995412349700928,0.9784052968025208,0.15719997882843018,0.022995412349700928
0.17500000000000002,0.8428000211715698,0.019380532205104828,0.022995412349700928,0.9784052968025208,0.15719997882843018,0.022995412349700928
0.18,0.8425999879837036,0.0193797517567873,0.022999942302703857,0.9784001708030701,0.1574000120162964,0.022999942302703857
0.185,0.8424000144004822,0.019379040226340294,0.0230045598000288,0.9783950448036194,0.15759998559951782,0.0230045598000288
0.19,0.8417999744415283,0.01937633752822876,0.023017743602395058,0.9783796668052673,0.15820002555847168,0.023017743602395058
0.195,0.8414000272750854,0.019176093861460686,0.0227906983345747,0.9786070585250854,0.15859997272491455,0.0227906983345747
0.2,0.8407999873161316,0.019173789769411087,0.022804223001003265,0.978591799736023,0.1592000126838684,0.022804223001003265
0.20500000000000002,0.8406000137329102,0.019173188135027885,0.02280893176794052,0.978586733341217,0.15939998626708984,0.02280893176794052
0.21,0.8399999737739563,0.018971877172589302,0.022585568949580193,0.9788095355033875,0.1600000262260437,0.022585568949580193
0.215,0.8398000001907349,0.01897108368575573,0.02259000390768051,0.9788044691085815,0.16019999980926514,0.02259000390768051
0.22,0.8392000198364258,0.01877051591873169,0.02236715331673622,0.9790276288986206,0.16079998016357422,0.02236715331673622
0.225,0.8392000198364258,0.01877051591873169,0.02236715331673622,0.9790276288986206,0.16079998016357422,0.02236715331673622
0.23,0.8392000198364258,0.01877051591873169,0.02236715331673622,0.9790276288986206,0.16079998016357422,0.02236715331673622
0.23500000000000001,0.8379999995231628,0.018567685037851334,0.02215714193880558,0.9792363047599792,0.16200000047683716,0.02215714193880558
0.24,0.8378000259399414,0.018566926941275597,0.02216152660548687,0.9792312979698181,0.1621999740600586,0.02216152660548687
0.245,0.8375999927520752,0.018566003069281578,0.02216571569442749,0.9792263507843018,0.1624000072479248,0.02216571569442749
0.25,0.8367999792098999,0.01856246031820774,0.02218267321586609,0.9792065024375916,0.1632000207901001,0.02218267321586609
0.255,0.8367999792098999,0.01856246031820774,0.02218267321586609,0.9792065024375916,0.1632000207901001,0.02218267321586609
0.26,0.8363999724388123,0.018561039119958878,0.02219158038496971,0.9791965484619141,0.16360002756118774,0.02219158038496971
0.265,0.8360000252723694,0.018559889867901802,0.022200826555490494,0.9791865944862366,0.16399997472763062,0.022200826555490494
0.27,0.8356000185012817,0.018558697775006294,0.022210026159882545,0.9791766405105591,0.16439998149871826,0.022210026159882545
0.275,0.8356000185012817,0.018558697775006294,0.022210026159882545,0.9791766405105591,0.16439998149871826,0.022210026159882545
0.28,0.8352000117301941,0.018557315692305565,0.022219007834792137,0.9791666865348816,0.1647999882698059,0.022219007834792137
0.28500000000000003,0.8349999785423279,0.01855674758553505,0.02222364954650402,0.9791616797447205,0.16500002145767212,0.02222364954650402
0.29,0.8348000049591064,0.0185561366379261,0.022228242829442024,0.9791566729545593,0.16519999504089355,0.022228242829442024
0.295,0.8342000246047974,0.018554160371422768,0.022241860628128052,0.9791417121887207,0.16579997539520264,0.022241860628128052
