threshold,coverage,risk,error,accuracy
0.0,1.0,0.08918322622776031,0.08579999208450317,0.9142000079154968
0.01,0.8736000061035156,0.032922953367233276,0.03136444091796875,0.9686355590820312
0.02,0.8654000163078308,0.030382847413420677,0.028888404369354248,0.9711115956306458
0.03,0.8618000149726868,0.030018847435712814,0.028544902801513672,0.9714550971984863
0.04,0.8583999872207642,0.02825702540576458,0.026794016361236572,0.9732059836387634
0.05,0.8564000129699707,0.027614755555987358,0.02615600824356079,0.9738439917564392
0.06,0.853600025177002,0.026525823399424553,0.02507030963897705,0.974929690361023
0.07,0.8507999777793884,0.026358461007475853,0.02491772174835205,0.975082278251648
0.08,0.8497999906539917,0.02615010365843773,0.024711668491363525,0.9752883315086365
0.09,0.8482000231742859,0.025954594835639,0.02452254295349121,0.9754774570465088
0.1,0.8465999960899353,0.02552274987101555,0.024096369743347168,0.9759036302566528
0.11,0.8447999954223633,0.025096634402871132,0.02367424964904785,0.9763257503509521
0.12,0.8434000015258789,0.02465970814228058,0.02323925495147705,0.976760745048523
0.13,0.8425999879837036,0.024678684771060944,0.023261308670043945,0.976738691329956
0.14,0.8417999744415283,0.024223804473876953,0.0228082537651062,0.9771917462348938
0.15,0.8410000205039978,0.02400614134967327,0.022592127323150635,0.9774078726768494
0.16,0.8402000069618225,0.023787403479218483,0.022375643253326416,0.9776243567466736
0.17,0.8393999934196472,0.023568646982312202,0.022158682346343994,0.977841317653656
0.18,0.8384000062942505,0.023591887205839157,0.022185087203979492,0.9778149127960205
0.19,0.8378000259399414,0.023368487134575844,0.021962285041809082,0.9780377149581909
0.2,0.8361999988555908,0.02316615916788578,0.02176511287689209,0.9782348871231079
0.21,0.8343999981880188,0.023206017911434174,0.021812081336975098,0.9781879186630249
0.22,0.8339999914169312,0.022976480424404144,0.021582722663879395,0.9784172773361206
0.23,0.8321999907493591,0.02253921702504158,0.021148741245269775,0.9788512587547302
0.24,0.8317999839782715,0.02254837565124035,0.021158933639526367,0.9788410663604736
0.25,0.8309999704360962,0.022565588355064392,0.02117931842803955,0.9788206815719604
0.26,0.8307999968528748,0.02256922610104084,0.02118438482284546,0.9788156151771545
0.27,0.8302000164985657,0.022581886500120163,0.021199703216552734,0.9788002967834473
0.28,0.8288000226020813,0.02237335778772831,0.020994186401367188,0.9790058135986328
0.29,0.8284000158309937,0.022382458671927452,0.021004319190979004,0.978995680809021
0.3,0.8281999826431274,0.02238694205880165,0.021009445190429688,0.9789905548095703
0.31,0.8274000287055969,0.02216431498527527,0.02078801393508911,0.9792119860649109
0.32,0.826200008392334,0.021950120106339455,0.020576119422912598,0.9794238805770874
0.33,0.8256000280380249,0.021481435745954514,0.020106613636016846,0.9798933863639832
0.34,0.8252000212669373,0.021489329636096954,0.020116329193115234,0.9798836708068848
0.35000000000000003,0.8252000212669373,0.021489329636096954,0.020116329193115234,0.9798836708068848
0.36,0.8248000144958496,0.021497387439012527,0.0201261043548584,0.9798738956451416
0.37,0.824400007724762,0.021506085991859436,0.020135879516601562,0.9798641204833984
0.38,0.8235999941825867,0.021281681954860687,0.01991260051727295,0.980087399482727
0.39,0.8230000138282776,0.021294690668582916,0.01992708444595337,0.9800729155540466
0.4,0.8222000002861023,0.02106991969048977,0.019703209400177002,0.980296790599823
0.41000000000000003,0.8212000131607056,0.020847484469413757,0.01948368549346924,0.9805163145065308
0.42,0.8209999799728394,0.02085180953145027,0.01948845386505127,0.9805115461349487
0.43,0.8205999732017517,0.020617874339222908,0.019254207611083984,0.980745792388916
0.44,0.8199999928474426,0.020630089566111565,0.019268274307250977,0.980731725692749
0.45,0.8187999725341797,0.02041126787662506,0.01905226707458496,0.980947732925415
0.46,0.8184000253677368,0.020419633015990257,0.019061565399169922,0.9809384346008301
0.47000000000000003,0.8173999786376953,0.020196622237563133,0.018840253353118896,0.9811597466468811
0.48,0.8169999718666077,0.020204927772283554,0.018849432468414307,0.9811505675315857
0.49,0.8163999915122986,0.0202172938734293,0.018863320350646973,0.981136679649353
0.5,0.8151999711990356,0.019996242597699165,0.01864570379257202,0.981354296207428
0.51,0.8148000240325928,0.020004644989967346,0.01865488290786743,0.9813451170921326
0.52,0.8130000233650208,0.019796529784798622,0.01845020055770874,0.9815497994422913
0.53,0.8118000030517578,0.01957489550113678,0.018231093883514404,0.9817689061164856
0.54,0.8116000294685364,0.019578922539949417,0.01823556423187256,0.9817644357681274
0.55,0.8104000091552734,0.01935841515660286,0.018015801906585693,0.9819841980934143
