,step,time stamp,loss,loss_pred,loss_cov,loss_risk,loss_aux,selective_loss,empirical_coverage,hard_coverage,empirical_risk,selective_acc,raw_acc,selective_risk,R_hat,mu,alpha_risk
64,65,2026/01/31 06:03:05,0.2187921107291413,0.1217112559349106,0.0002208508435816,0.0,0.3088057383228414,0.1287784829212073,0.7946130380082054,0.7959764376996805,0.0966240574186221,0.970225949447376,0.8986621405750799,0.0521370148815857,0.0,0.0,0.1000000000000005
65,66,2026/01/31 06:03:31,0.229702520532349,0.1314462838164819,0.0002017879956783,0.0,0.3215015408234855,0.1379034999436654,0.7933770618118798,0.7948033146964856,0.1042566481953897,0.966177302237136,0.8956669329073482,0.0580620072460688,0.0,0.0,0.1000000000000005
66,67,2026/01/31 06:03:56,0.2161220769627025,0.1215643067710315,0.0001740962480198,0.0,0.3051087657769267,0.1271353866071842,0.7950810691038259,0.7961511581469649,0.0964727563420519,0.9696004762055394,0.8997354233226837,0.0533522959417714,0.0,0.0,0.1000000000000005
67,68,2026/01/31 06:04:21,0.2218341164219493,0.1256176643787672,0.0002148158444372,0.0,0.3111764620572995,0.1324917715602218,0.7944539530208697,0.7955521166134185,0.0995714528837238,0.968461360032566,0.8984624600638977,0.0550457198149003,0.0,0.0,0.1000000000000005
68,69,2026/01/31 06:04:46,0.2141140975272312,0.1221417343368926,0.0001841709893921,0.0,0.3001929894803812,0.1280352058656775,0.7950268639162326,0.7966753194888179,0.0970415038922533,0.969851068224008,0.9017571884984026,0.0531615544312868,0.0,0.0,0.1000000000000005
69,70,2026/01/31 06:05:11,0.211195801227047,0.1156982884656031,0.0002146876710266,0.0,0.2998233077625116,0.122568293900107,0.7946880804464078,0.7956020367412141,0.0918228433024102,0.9704143144071292,0.9018819888178914,0.0504490077233733,0.0,0.0,0.1000000000000005
70,71,2026/01/31 06:05:37,0.2204076816527226,0.1276120222426546,0.0001982736854021,0.0,0.3068585839991371,0.1339567802108514,0.7953802335757417,0.7970497204472844,0.1013729244280166,0.9674164207217792,0.8993111022364217,0.0555278642263751,0.0,0.0,0.1000000000000005
71,72,2026/01/31 06:06:02,0.2229210007400177,0.1267768071470454,0.0002036603870678,0.0,0.3125480617197176,0.1332939393735065,0.7953686944592875,0.7967002795527156,0.1006913654768048,0.96795849068858,0.8976886980830671,0.0563130831589904,0.0,0.0,0.1000000000000005
72,73,2026/01/31 06:06:27,0.2141641956120253,0.119869682467736,0.0001939393553958,0.0,0.3022526490469329,0.1260757420283441,0.7958283418664536,0.7963508386581469,0.0953364928666585,0.9702868252135696,0.899910143769968,0.0516359148362574,0.0,0.0,0.1000000000000005
73,74,2026/01/31 06:06:51,0.2188171954771962,0.1240403347889693,0.0001969383368427,0.0,0.3072920279285778,0.1303423617969448,0.7940200388241119,0.7965505191693291,0.098458020849683,0.9686289456324836,0.8989117412140575,0.0540916238801357,0.0,0.0,0.1000000000000005
74,75,2026/01/31 06:07:16,0.2172511191175768,0.1215746887623311,0.0002163509920804,0.0,0.3060043183283303,0.1284979204840648,0.7952240640743853,0.7965255591054313,0.0966274240931954,0.969292200982761,0.8988368610223643,0.0533552643018789,0.0,0.0,0.1000000000000005
75,76,2026/01/31 06:07:42,0.1484530964336646,0.0678969430930603,0.0001180444612761,0.0,0.2252318270195025,0.0716743659966003,0.8013245351017474,0.8033646166134185,0.0543351077203885,0.984119291122729,0.926417731629393,0.0316334854002101,0.0,0.0,0.1000000000000005
76,77,2026/01/31 06:08:07,0.1255004239705995,0.049922185545317,0.0001006490248105,0.0,0.1978578934082969,0.0531429543603247,0.8017051772187693,0.8038138977635783,0.039993782447407,0.9897192891794272,0.9348791932907348,0.0212447039794902,0.0,0.0,0.1000000000000005
77,78,2026/01/31 06:08:32,0.1181960763594213,0.0476081646627749,9.897013295843904e-05,0.0,0.1856169436162653,0.0507752088764414,0.8051416011283192,0.8073831869009584,0.038203254483414,0.9909402486234428,0.940445287539936,0.0193269397072589,0.0,0.0,0.1000000000000005
78,79,2026/01/31 06:08:56,0.1140030016557286,0.043746222307483,9.718879835190456e-05,0.0,0.1811497389032437,0.0468562638354353,0.8023117672140225,0.8049870207667732,0.0350264344370355,0.9916993699515588,0.9404952076677316,0.0181570916760939,0.0,0.0,0.1000000000000005
79,80,2026/01/31 06:09:21,0.1128638059781572,0.0444972386848502,7.846494234880633e-05,0.0,0.1787194952892419,0.0470081168396499,0.8057632632910634,0.8086811102236422,0.0357510385701593,0.9915891373500276,0.941194089456869,0.017854505159056,0.0,0.0,0.1000000000000005
80,81,2026/01/31 06:09:47,0.10846073773151,0.0395578473193434,7.322662310230998e-05,0.0,0.175020376166787,0.0419010992843312,0.805367052364654,0.8075579073482428,0.0317769537727458,0.9926624368554868,0.9422673722044728,0.0166408250751063,0.0,0.0,0.1000000000000005
81,82,2026/01/31 06:10:12,0.1087504117347942,0.0401374717576268,0.0001023190455557,0.0,0.1740891412852671,0.043411681235146,0.8039750702464923,0.8066843051118211,0.0322022022390827,0.9922285517945456,0.9431409744408946,0.0162593330087039,0.0,0.0,0.1000000000000005
82,83,2026/01/31 06:10:36,0.1123271514765751,0.0430707640695971,0.0001008423823835,0.0,0.1783565824833541,0.0462977203001943,0.8028751512685903,0.8056110223642172,0.0345205476436133,0.9917310613412826,0.9413937699680512,0.0170314907417677,0.0,0.0,0.1000000000000005
83,84,2026/01/31 06:11:01,0.1062483672326365,0.0391114191315806,9.018832218418784e-05,0.0,0.1704992885097337,0.0419974455359978,0.8042971348991028,0.8067841453674122,0.0313768583534362,0.9926808451692136,0.9441144169329072,0.015744079012995,0.0,0.0,0.1000000000000005
84,85,2026/01/31 06:11:26,0.1059069789874667,0.0401153507696006,8.73618362367657e-05,0.0,0.1689030283246748,0.0429109295476049,0.8044831076749979,0.8070587060702875,0.0321202569897063,0.9925393705931717,0.944888178913738,0.0159019308251004,0.0,0.0,0.1000000000000005
85,86,2026/01/31 06:11:52,0.1092723261791105,0.0392801026284052,0.0001155160353323,0.0,0.1755680361994729,0.0429766157511086,0.8040272540177781,0.8074830271565495,0.031416819186899,0.9926290321654786,0.942042731629393,0.0162873560824571,0.0,0.0,0.1000000000000005
86,87,2026/01/31 06:12:16,0.1128722628453573,0.0449541452245566,9.175026479425606e-05,0.0,0.1778543718730489,0.047890153765595,0.8047679079988133,0.8067342252396166,0.0360933209965808,0.9913072904077964,0.942367212460064,0.0178963376429324,0.0,0.0,0.1000000000000005
87,88,2026/01/31 06:12:41,0.1064847776184257,0.0392011538632928,0.0001094969093069,0.0,0.1702645005890355,0.0427050549185837,0.8044638546130147,0.8067841453674122,0.0314341590251809,0.9927035770096336,0.9433905750798722,0.0158278753567403,0.0,0.0,0.1000000000000005
88,89,2026/01/31 06:13:06,0.108688154713081,0.0424064587736234,8.548091904044603e-05,0.0,0.1722344613303772,0.0451418481567821,0.8044116430389233,0.8068839856230032,0.0340858447936753,0.9914374924696292,0.9431659345047924,0.0171084324219308,0.0,0.0,0.1000000000000005
89,90,2026/01/31 06:13:31,0.1089665714663248,0.0404560656447451,9.52275291405326e-05,0.0,0.1744297961362253,0.0435033464884629,0.8026248843144304,0.8046875,0.0323907387213775,0.9924212960770336,0.9426417731629392,0.0162584390744162,0.0,0.0,0.1000000000000005
90,91,2026/01/31 06:13:57,0.106901014931857,0.0404506211389248,9.51962401840958e-05,0.0,0.1703051290454003,0.0434969008346787,0.804425450369192,0.8069588658146964,0.0324546354778182,0.992838816711316,0.9449131389776356,0.0156058615323501,0.0,0.0,0.1000000000000005
91,92,2026/01/31 06:14:22,0.1158624677041087,0.0440457872064492,0.0001046797738058,0.0,0.1843293957864514,0.0473955398538527,0.8036721051691439,0.805635982428115,0.0352740971454844,0.9920810301082964,0.9401208067092652,0.0171884930746171,0.0,0.0,0.1000000000000005
92,93,2026/01/31 06:14:47,0.1157696642064914,0.046866716306728,9.700648131878332e-05,0.0,0.1815684049750288,0.0499709236774795,0.8028071806453668,0.8050619009584664,0.0375869026014837,0.9907786168229464,0.9397963258785944,0.0188122903333066,0.0,0.0,0.1000000000000005
93,94,2026/01/31 06:15:12,0.1182273029090878,0.0489978672499164,9.946688117835744e-05,0.0,0.1842737984352599,0.0521808074349864,0.803943755718085,0.8059604632587859,0.0391956776448974,0.9908156259753071,0.93939696485623,0.0190701632739636,0.0,0.0,0.1000000000000005
94,95,2026/01/31 06:15:37,0.1125816594416531,0.045121608449283,8.705328103481031e-05,0.0,0.1772560062833106,0.0479073133840323,0.8036473138263812,0.8069588658146964,0.0362173461507018,0.9913890346551476,0.9417432108626198,0.0177426943079398,0.0,0.0,0.1000000000000005
95,96,2026/01/31 06:16:03,0.1152142609436862,0.0482559459724317,9.582845185594596e-05,0.0,0.1791060659260795,0.0513224564879513,0.8054040822739037,0.808381589456869,0.0387483849904288,0.9909575012164374,0.9419928115015974,0.0186092770218063,0.0,0.0,0.1000000000000005
96,97,2026/01/31 06:16:27,0.1185287757279773,0.0499501010855308,0.0001020932509034,0.0,0.1838404663597433,0.0532170850009963,0.8025197714281539,0.8048372603833865,0.0399915739394034,0.9905626996637532,0.9389476837060704,0.0198097903067216,0.0,0.0,0.1000000000000005
