alpha,tau,accepted_loss_mass,selective_risk,coverage,feasible
0.01,1.0,0.0001000299962470308,0.010312370024621487,0.009700000286102295,True
0.02,0.99,0.018015103414654732,0.044680316001176834,0.4032000005245209,True
0.05,0.86,0.0497589036822319,0.08852322399616241,0.5620999932289124,True
0.1,0.26,0.09977175295352936,0.14036543667316437,0.7107999920845032,True
0.15,0.04,0.1463877558708191,0.18180297315120697,0.8051999807357788,True
0.2,0.01,0.18550649285316467,0.2148309201002121,0.8634999990463257,True
