tau,risk,coverage,selective_acc
0.3,0.0013947286643087864,0.9973999857902527,1.0
0.3263157894736842,0.0013940189965069294,0.9972000122070312,1.0
0.3526315789473684,0.0013936159666627645,0.996999979019165,1.0
0.3789473684210526,0.001393378945067525,0.9968000054359436,1.0
0.4052631578947368,0.001393378945067525,0.9968000054359436,1.0
0.43157894736842106,0.0013928305124863982,0.996399998664856,1.0
0.45789473684210524,0.0013928305124863982,0.996399998664856,1.0
0.4842105263157894,0.0013928305124863982,0.996399998664856,1.0
0.5105263157894737,0.0013921452919021249,0.9955999851226807,1.0
0.5368421052631579,0.0013917548349127173,0.995199978351593,1.0
0.5631578947368421,0.0013917548349127173,0.995199978351593,1.0
0.5894736842105264,0.0013910760171711445,0.9945999979972839,1.0
0.6157894736842104,0.001390841556712985,0.9944000244140625,1.0
0.6421052631578947,0.0013906137319281697,0.9941999912261963,1.0
0.6684210526315789,0.0013903590152040124,0.9940000176429749,1.0
0.6947368421052631,0.0013896867167204618,0.9932000041007996,1.0
0.7210526315789474,0.0013876447919756174,0.9914000034332275,1.0
0.7473684210526315,0.0013866348890587687,0.9904000163078308,1.0
0.7736842105263158,0.0013855836587026715,0.9894000291824341,1.0
0.8,0.0013841723557561636,0.9879999756813049,1.0
