alpha,tau,risk,coverage,feasible
0.05,0.3,0.0013961313525214791,0.9972000122070312,True
0.1,0.3,0.0013933168957009912,0.9968000054359436,True
0.15,0.3,0.00139529793523252,0.9968000054359436,True
0.2,0.3,0.0013957025948911905,0.996999979019165,True
