method,dataset,seed,alpha,tau_hat,cal_accepted_loss_mass,test_accepted_loss_mass,test_selective_risk,test_coverage,test_selective_acc,violation_gap,violated,auroc,aupr
MSP,cifar100,123,0.01,0.9960610866546631,0.009603913873434067,0.01007016096264124,0.025169109410269504,0.4000999927520752,0.9757560609847538,7.016096264123896e-05,True,0.8716881263985099,0.6557379192130446
MSP,cifar100,123,0.02,0.9837427139282227,0.01963048428297043,0.022022346034646034,0.04282003985335802,0.5142999887466431,0.9595566789811394,0.002022346034646034,True,0.8716881263985099,0.6557379192130446
MSP,cifar100,123,0.05,0.9014599323272705,0.049690552055835724,0.05326811969280243,0.08102847784893615,0.6574000120162964,0.9282020079099483,0.0032681196928024264,True,0.8716881263985099,0.6557379192130446
MSP,cifar100,123,0.1,0.6975111961364746,0.09977778047323227,0.10365425795316696,0.13452856619585496,0.7705000042915344,0.8879948085658663,0.003654257953166956,True,0.8716881263985099,0.6557379192130446
MSP,cifar100,123,0.15,0.5136591196060181,0.14976383745670319,0.1493803709745407,0.1771798969205907,0.8431000113487244,0.8557703712489622,0.0,False,0.8716881263985099,0.6557379192130446
MSP,cifar100,123,0.2,0.34623974561691284,0.19976432621479034,0.19722610712051392,0.21759279660176936,0.9064000248908997,0.8236981465136805,0.0,False,0.8716881263985099,0.6557379192130446
