threshold,id_accept_rate,ood_accept_rate,dar
0.0,1.0,1.0,1.0
0.02,0.8633999824523926,0.3039720356464386,0.3039720356464386
0.04,0.8543999791145325,0.27012908458709717,0.27012908458709717
0.06,0.8511999845504761,0.2519207000732422,0.2519207000732422
0.08,0.8479999899864197,0.2372080534696579,0.2372080534696579
0.1,0.8453999757766724,0.22522279620170593,0.22522279620170593
0.12,0.8420000076293945,0.21673324704170227,0.21673324704170227
0.14,0.840399980545044,0.20835894346237183,0.20835894346237183
0.16,0.8385999798774719,0.2017516940832138,0.2017516940832138
0.18,0.8378000259399414,0.1949523687362671,0.1949523687362671
0.2,0.8360000252723694,0.18796096742153168,0.18796096742153168
0.22,0.8342000246047974,0.18296711146831512,0.18296711146831512
0.24,0.8335999846458435,0.17755070328712463,0.17755070328712463
0.26,0.8330000042915344,0.17347879707813263,0.17347879707813263
0.28,0.8320000171661377,0.16925323009490967,0.16925323009490967
0.3,0.8313999772071838,0.1644514501094818,0.1644514501094818
0.32,0.8306000232696533,0.16053318977355957,0.16053318977355957
0.34,0.8302000164985657,0.1563844531774521,0.1563844531774521
0.36,0.8294000029563904,0.15238936245441437,0.15238936245441437
0.38,0.8289999961853027,0.14897049963474274,0.14897049963474274
0.4,0.8276000022888184,0.14532114565372467,0.14532114565372467
0.42,0.8267999887466431,0.14159496128559113,0.14159496128559113
0.44,0.8248000144958496,0.13859865069389343,0.13859865069389343
0.46,0.8241999745368958,0.13521818816661835,0.13521818816661835
0.48,0.8227999806404114,0.13214504718780518,0.13214504718780518
0.5,0.8217999935150146,0.12937922775745392,0.12937922775745392
0.52,0.8202000260353088,0.12642133235931396,0.12642133235931396
0.54,0.8190000057220459,0.12357867509126663,0.12357867509126663
0.56,0.8180000185966492,0.12065918743610382,0.12065918743610382
0.58,0.8169999718666077,0.11743239313364029,0.11743239313364029
0.6,0.8163999915122986,0.11416717618703842,0.11416717618703842
0.62,0.8159999847412109,0.11120928078889847,0.11120928078889847
0.64,0.8155999779701233,0.10809772461652756,0.10809772461652756
0.66,0.8144000172615051,0.10560079663991928,0.10560079663991928
0.68,0.8127999901771545,0.10252765566110611,0.10252765566110611
0.7000000000000001,0.8119999766349792,0.10006914287805557,0.10006914287805557
0.72,0.8100000023841858,0.0966118648648262,0.0966118648648262
0.74,0.8087999820709229,0.09303933382034302,0.09303933382034302
0.76,0.8076000213623047,0.08919791132211685,0.08919791132211685
0.78,0.8065999746322632,0.08512599766254425,0.08512599766254425
0.8,0.8044000267982483,0.08105408400297165,0.08105408400297165
0.8200000000000001,0.8022000193595886,0.0779041200876236,0.0779041200876236
0.84,0.7993999719619751,0.07390903681516647,0.07390903681516647
0.86,0.7964000105857849,0.0695682242512703,0.0695682242512703
0.88,0.7932000160217285,0.06495851278305054,0.06495851278305054
0.9,0.7896000146865845,0.059849414974451065,0.059849414974451065
0.92,0.7864000201225281,0.054509833455085754,0.054509833455085754
0.9400000000000001,0.7803999781608582,0.04721112549304962,0.04721112549304962
0.96,0.0,0.0,0.0
0.98,0.0,0.0,0.0
1.0,0.0,0.0,0.0
