alpha,coverage,risk,threshold,accuracy,feasible
0.01,0.0,0.0,0.96,0.0,True
0.02,0.8277999758720398,0.019998088479042053,0.46,0.981396496295929,True
0.05,0.8848000168800354,0.0311699490994215,0.005,0.9703887701034546,True
0.1,1.0,0.08453527092933655,0.0,0.9193999767303467,True
0.15,1.0,0.08453527092933655,0.0,0.9193999767303467,True
0.2,1.0,0.08453527092933655,0.0,0.9193999767303467,True
