tau,accepted_loss_mass,selective_risk,coverage,selective_acc,abstention_rate
0.0,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.005,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.01,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.015,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.02,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.025,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.03,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.035,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.04,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.045,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.05,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.055,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.06,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.065,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.07,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.075,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.08,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.085,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.09,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.095,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.1,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.105,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.11,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.115,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.12,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.125,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.13,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.135,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.14,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.145,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.15,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.155,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.16,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.165,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.17,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.17500000000000002,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.18,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.185,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.19,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.195,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.2,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.20500000000000002,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.21,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.215,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.22,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0
0.225,0.08416306227445602,0.08417989750293808,0.9998000264167786,0.9207841568313663,0.00019997358322143555
0.23,0.08416306227445602,0.08417989750293808,0.9998000264167786,0.9207841568313663,0.00019997358322143555
0.23500000000000001,0.08416306227445602,0.08417989750293808,0.9998000264167786,0.9207841568313663,0.00019997358322143555
0.24,0.08416306227445602,0.08417989750293808,0.9998000264167786,0.9207841568313663,0.00019997358322143555
0.245,0.08416306227445602,0.08417989750293808,0.9998000264167786,0.9207841568313663,0.00019997358322143555
0.25,0.0839700773358345,0.08400368203922194,0.9995999932289124,0.920968387354942,0.0004000067710876465
0.255,0.0839700773358345,0.08400368203922194,0.9995999932289124,0.920968387354942,0.0004000067710876465
0.26,0.0839700773358345,0.08400368203922194,0.9995999932289124,0.920968387354942,0.0004000067710876465
0.265,0.08379105478525162,0.08384136316750988,0.9994000196456909,0.9211526916149689,0.000599980354309082
0.27,0.08365941792726517,0.08372639884368432,0.9991999864578247,0.9211369095276221,0.000800013542175293
0.275,0.08352184295654297,0.08360544993235423,0.9990000128746033,0.9213213213213213,0.0009999871253967285
0.28,0.08352184295654297,0.08360544993235423,0.9990000128746033,0.9213213213213213,0.0009999871253967285
0.28500000000000003,0.08352184295654297,0.08360544993235423,0.9990000128746033,0.9213213213213213,0.0009999871253967285
0.29,0.08339138329029083,0.0834915717220039,0.9987999796867371,0.9213055666800161,0.0012000203132629395
0.295,0.08339138329029083,0.0834915717220039,0.9987999796867371,0.9213055666800161,0.0012000203132629395
0.3,0.08326910436153412,0.08338584418576632,0.9986000061035156,0.9212898057280192,0.001399993896484375
0.305,0.08326910436153412,0.08338584418576632,0.9986000061035156,0.9212898057280192,0.001399993896484375
0.31,0.08326910436153412,0.08338584418576632,0.9986000061035156,0.9212898057280192,0.001399993896484375
0.315,0.08302892744541168,0.08317865223809107,0.998199999332428,0.9212582648767782,0.0018000006675720215
0.32,0.08302892744541168,0.08317865223809107,0.998199999332428,0.9212582648767782,0.0018000006675720215
0.325,0.08265174925327301,0.08285058701430308,0.9976000189781189,0.9216118684843625,0.0023999810218811035
0.33,0.08249519020318985,0.08271023704600712,0.9973999857902527,0.9217966713454983,0.0026000142097473145
0.335,0.08249519020318985,0.08271023704600712,0.9973999857902527,0.9217966713454983,0.0026000142097473145
0.34,0.08230822533369064,0.08253933768457933,0.9972000122070312,0.921981548335339,0.00279998779296875
0.34500000000000003,0.08218477666378021,0.08243207405419384,0.996999979019165,0.9221664994984955,0.003000020980834961
0.35000000000000003,0.081995889544487,0.08225911539974794,0.9968000054359436,0.9223515248796148,0.0031999945640563965
0.355,0.081995889544487,0.08225911539974794,0.9968000054359436,0.9223515248796148,0.0031999945640563965
0.36,0.081551194190979,0.08186227292618199,0.9962000250816345,0.9227062838787392,0.0037999749183654785
0.365,0.08145001530647278,0.08177712068979041,0.9959999918937683,0.9226907630522089,0.0040000081062316895
0.37,0.08125673979520798,0.08159945599643503,0.9958000183105469,0.9228760795340429,0.004199981689453125
0.375,0.08109726756811142,0.08145567057553234,0.9955999851226807,0.9230614704700683,0.004400014877319336
0.38,0.08089399337768555,0.08128415809950261,0.995199978351593,0.9230305466237942,0.004800021648406982
0.385,0.080360546708107,0.08079684986426704,0.9945999979972839,0.923587371807762,0.0054000020027160645
