tau,accepted_loss_mass,selective_risk,coverage,selective_acc,abstention_rate
0.0,0.3021363914012909,0.3021364013671875,1.0,0.7584,0.0
0.005,0.3007887601852417,0.30121046418110353,0.9986000061035156,0.7592629681554176,0.001399993896484375
0.01,0.297992467880249,0.299279357291039,0.9957000017166138,0.7611730440895852,0.0042999982833862305
0.015,0.2929688096046448,0.29580856101385805,0.9904000163078308,0.7639337641357028,0.00959998369216919
0.02,0.2850395441055298,0.2902643083312118,0.9819999933242798,0.7689409368635438,0.018000006675720215
0.025,0.2761894166469574,0.2839993874517995,0.9725000262260437,0.7740874035989718,0.0274999737739563
0.03,0.26782533526420593,0.2780867425987696,0.963100016117096,0.7782161769286678,0.03689998388290405
0.035,0.25959905982017517,0.2721164023601284,0.9539999961853027,0.7831236897274633,0.046000003814697266
0.04,0.2500421404838562,0.2650717043060267,0.9433000087738037,0.7890384819251564,0.05669999122619629
0.045,0.24155193567276,0.2587871531079253,0.9333999752998352,0.7935504606813799,0.0666000247001648
0.05,0.23272021114826202,0.2521072633991442,0.9230999946594238,0.7986133679991334,0.07690000534057617
0.055,0.22337061166763306,0.244950768142066,0.911899983882904,0.8039258690645904,0.08810001611709595
0.06,0.21506212651729584,0.2384809645032851,0.9017999768257141,0.8083832335329342,0.09820002317428589
0.065,0.20701900124549866,0.23203204902558283,0.8921999931335449,0.8139430620937009,0.10780000686645508
0.07,0.1981220543384552,0.22495975713122374,0.8806999921798706,0.8190076075848757,0.1193000078201294
0.075,0.19020849466323853,0.21858020695673408,0.870199978351593,0.8232590209147322,0.12980002164840698
0.08,0.18273533880710602,0.2124088566261406,0.8603000044822693,0.8277345112170174,0.1396999955177307
0.085,0.17430324852466583,0.20518333969430547,0.8495000004768372,0.8341377280753385,0.15049999952316284
0.09,0.16722890734672546,0.19901095590860407,0.8403000235557556,0.8395811019873854,0.15969997644424438
0.095,0.16162870824337006,0.19438209373120865,0.8314999938011169,0.8422128683102826,0.16850000619888306
0.1,0.15483759343624115,0.18838982559465872,0.8219000101089478,0.847305024942207,0.17809998989105225
0.105,0.14801399409770966,0.18232816144967204,0.8118000030517578,0.8515644247351565,0.1881999969482422
0.11,0.1422017365694046,0.1772867889271132,0.8021000027656555,0.8548809375389602,0.19789999723434448
0.115,0.1365310400724411,0.17201844838159097,0.7936999797821045,0.8590147410860527,0.2063000202178955
0.12,0.13153256475925446,0.1677069595299949,0.7843000292778015,0.8612775723575162,0.2156999707221985
0.125,0.12723703682422638,0.16381747924914702,0.7767000198364258,0.8631389210763487,0.22329998016357422
