method,dataset,seed,alpha,temperature,tau_hat,test_accepted_loss_mass,test_selective_risk,test_coverage,test_selective_acc,violation_gap,violated,auroc,aupr
Energy,cifar100,42,0.01,1.0,0.42867550253868103,0.011909051798284054,0.030126616528388248,0.3953000009059906,0.9711611434353655,0.0019090517982840536,True,0.8514485445133707,0.6201218606292578
Energy,cifar100,42,0.02,1.0,0.34699052572250366,0.021732613444328308,0.0448650167955041,0.4844000041484833,0.958092485549133,0.0017326134443283077,True,0.8514485445133707,0.6201218606292578
Energy,cifar100,42,0.05,1.0,0.23759396374225616,0.055179499089717865,0.08918619410217492,0.6187000274658203,0.9199935348310975,0.005179499089717862,True,0.8514485445133707,0.6201218606292578
Energy,cifar100,42,0.1,1.0,0.14690832793712616,0.10754323750734329,0.14480037337375454,0.7426999807357788,0.8780126565234954,0.007543237507343287,True,0.8514485445133707,0.6201218606292578
Energy,cifar100,42,0.15,1.0,0.09256433695554733,0.16426871716976166,0.1965877374089352,0.8356000185012817,0.8409526089037818,0.014268717169761663,True,0.8514485445133707,0.6201218606292578
Energy,cifar100,42,0.2,1.0,0.059059057384729385,0.21654129028320312,0.23966937928022966,0.9035000205039978,0.8073049252905368,0.016541290283203114,True,0.8514485445133707,0.6201218606292578
