method,dataset,seed,alpha,tau_hat,cal_accepted_loss_mass,test_accepted_loss_mass,test_selective_risk,test_coverage,test_selective_acc,violation_gap,violated,auroc,aupr
MSP,cifar100,456,0.01,0.9934852123260498,0.009773565456271172,0.01127378735691309,0.026102771304166546,0.4318999946117401,0.9752257467006251,0.0012737873569130895,True,0.8735939975385845,0.662147569582803
MSP,cifar100,456,0.02,0.9784236550331116,0.01975424587726593,0.02147630602121353,0.04103230063497086,0.5234000086784363,0.9619793656858999,0.001476306021213531,True,0.8735939975385845,0.662147569582803
MSP,cifar100,456,0.05,0.9022101759910583,0.049665629863739014,0.04903251677751541,0.07691375134037991,0.637499988079071,0.932235294117647,0.0,False,0.8735939975385845,0.662147569582803
MSP,cifar100,456,0.1,0.7152716517448425,0.0997198149561882,0.0930715948343277,0.12539961498016874,0.7422000169754028,0.8973322554567502,0.0,False,0.8735939975385845,0.662147569582803
MSP,cifar100,456,0.15,0.5149238705635071,0.14964237809181213,0.14474332332611084,0.17529771436830113,0.8256999850273132,0.8597553590892576,0.0,False,0.8735939975385845,0.662147569582803
MSP,cifar100,456,0.2,0.3468628227710724,0.19968891143798828,0.20042526721954346,0.22289286983394963,0.8992000222206116,0.821952846975089,0.00042526721954344593,True,0.8735939975385845,0.662147569582803
