alpha,tau,accepted_loss_mass,selective_risk,coverage,feasible
0.01,1.0,0.00010012719576479867,0.007416829466819763,0.013500000350177288,True
0.02,0.995,0.016800180077552795,0.04406026750802994,0.3813000023365021,True
0.05,0.885,0.049819253385066986,0.0885833129286766,0.5623999834060669,True
0.1,0.39,0.09920884668827057,0.14130301773548126,0.7020999789237976,True
0.15,0.075,0.14974884688854218,0.18730312585830688,0.7994999885559082,True
0.2,0.015,0.19854579865932465,0.22659872472286224,0.8762000203132629,True
