method,dataset,seed,alpha,temperature,tau_hat,test_accepted_loss_mass,test_selective_risk,test_coverage,test_selective_acc,violation_gap,violated,auroc,aupr
Energy,cifar10,999,0.01,1.0,0.8247125148773193,0.015261111781001091,0.019215703160658917,0.7942000031471252,0.9821203727020902,0.005261111781001091,True,0.892322087059254,0.44372040879128904
Energy,cifar10,999,0.02,1.0,0.7425950765609741,0.023411545902490616,0.02742683496448406,0.853600025177002,0.9739925023430178,0.0034115459024906154,True,0.892322087059254,0.44372040879128904
Energy,cifar10,999,0.05,1.0,0.4162091016769409,0.05089765414595604,0.053951296584950376,0.9434000253677368,0.9484842060631757,0.0008976541459560367,True,0.892322087059254,0.44372040879128904
Energy,cifar10,999,0.1,1.0,0.0,0.08408836275339127,0.08408836059570313,1.0,0.9212,0.0,False,0.892322087059254,0.44372040879128904
Energy,cifar10,999,0.15,1.0,0.0,0.08408836275339127,0.08408836059570313,1.0,0.9212,0.0,False,0.892322087059254,0.44372040879128904
Energy,cifar10,999,0.2,1.0,0.0,0.08408836275339127,0.08408836059570313,1.0,0.9212,0.0,False,0.892322087059254,0.44372040879128904
