alpha,coverage,risk,threshold,accuracy,feasible
0.01,0.0,0.0,0.96,0.0,True
0.02,0.824999988079071,0.019816044718027115,0.36,0.9815757870674133,True
0.05,0.8744000196456909,0.030552729964256287,0.005,0.970951497554779,True
0.1,1.0,0.08181973546743393,0.0,0.9218000173568726,True
0.15,1.0,0.08181973546743393,0.0,0.9218000173568726,True
0.2,1.0,0.08181973546743393,0.0,0.9218000173568726,True
