method,dataset,seed,alpha,temperature,tau_hat,test_accepted_loss_mass,test_selective_risk,test_coverage,test_selective_acc,violation_gap,violated,auroc,aupr
Energy,cifar100,999,0.01,1.0,0.44328421354293823,0.008803075179457664,0.02308700605543023,0.3813000023365021,0.9777078415945449,0.0,False,0.8596944068691664,0.6165558699035287
Energy,cifar100,999,0.02,1.0,0.3490230441093445,0.01939902827143669,0.03872061480067209,0.5009999871253967,0.963872255489022,0.0,False,0.8596944068691664,0.6165558699035287
Energy,cifar100,999,0.05,1.0,0.24108214676380157,0.05059865117073059,0.07969546562143152,0.6348999738693237,0.9272326350606395,0.000598651170730588,True,0.8596944068691664,0.6165558699035287
Energy,cifar100,999,0.1,1.0,0.1487196832895279,0.10528736561536789,0.1389748755578884,0.7576000094413757,0.8771119324181627,0.005287365615367884,True,0.8596944068691664,0.6165558699035287
Energy,cifar100,999,0.15,1.0,0.09447182714939117,0.1576046645641327,0.18658063583039836,0.8446999788284302,0.8421924943767017,0.007604664564132696,True,0.8596944068691664,0.6165558699035287
Energy,cifar100,999,0.2,1.0,0.05944105237722397,0.2096094936132431,0.22948269878510236,0.9133999943733215,0.8102693234070506,0.009609493613243092,True,0.8596944068691664,0.6165558699035287
