tau,accepted_loss_mass,selective_risk,coverage,selective_acc,abstention_rate
0.0,0.2864987850189209,0.286498779296875,1.0,0.7652,0.0
0.005,0.2864987850189209,0.286498779296875,1.0,0.7652,0.0
0.01,0.2864987850189209,0.286498779296875,1.0,0.7652,0.0
0.015,0.2864987850189209,0.286498779296875,1.0,0.7652,0.0
0.02,0.2864987850189209,0.286498779296875,1.0,0.7652,0.0
0.025,0.2864987850189209,0.286498779296875,1.0,0.7652,0.0
0.03,0.2864987850189209,0.286498779296875,1.0,0.7652,0.0
0.035,0.2864987850189209,0.286498779296875,1.0,0.7652,0.0
0.04,0.2864018678665161,0.28643049851860186,0.9998999834060669,0.7652765276527653,0.00010001659393310547
0.045,0.2864018678665161,0.28643049851860186,0.9998999834060669,0.7652765276527653,0.00010001659393310547
0.05,0.286302387714386,0.2863596645110272,0.9998000264167786,0.7653530706141228,0.00019997358322143555
0.055,0.2860127389431,0.2861558220516508,0.9994999766349792,0.7655827913956978,0.000500023365020752
0.06,0.2860127389431,0.2861558220516508,0.9994999766349792,0.7655827913956978,0.000500023365020752
0.065,0.2857259511947632,0.28595471592117444,0.9991999864578247,0.7656124899919936,0.000800013542175293
0.07,0.28543153405189514,0.2857458634185104,0.9988999962806702,0.7658424266693362,0.001100003719329834
0.075,0.28495487570762634,0.2854115412785457,0.9983999729156494,0.7660256410256411,0.001600027084350586
0.08,0.2841954231262207,0.2848791445171537,0.9976000189781189,0.7664394546912591,0.0023999810218811035
0.085,0.28371724486351013,0.2845424093151389,0.9970999956130981,0.7668237889880654,0.0029000043869018555
0.09,0.283062219619751,0.2840849127170313,0.996399998664856,0.7670614211160177,0.003600001335144043
0.095,0.28181201219558716,0.2831996902007336,0.9951000213623047,0.7679630187920812,0.0048999786376953125
0.1,0.280767023563385,0.2824617873255156,0.9940000176429749,0.7687122736418511,0.0059999823570251465
0.105,0.2789802849292755,0.28120176739995967,0.9921000003814697,0.7697812720491886,0.007899999618530273
0.11,0.2778632938861847,0.28041508291862194,0.9908999800682068,0.7703098193561408,0.009100019931793213
0.115,0.27635273337364197,0.2793416904629536,0.989300012588501,0.7712524006873547,0.010699987411499023
0.12,0.2750558853149414,0.2784248241614156,0.9879000186920166,0.7719404798056484,0.012099981307983398
0.125,0.273933470249176,0.2776258960977881,0.9866999983787537,0.7725752508361204,0.013300001621246338
0.13,0.27185145020484924,0.2761315031424581,0.984499990940094,0.773895378364652,0.015500009059906006
0.135,0.2700701653957367,0.27485260127785976,0.9825999736785889,0.7749847343781804,0.017400026321411133
0.14,0.2684510350227356,0.2736782805491131,0.98089998960495,0.7762259149760424,0.01910001039505005
0.145,0.26704519987106323,0.27266202821083063,0.9793999791145325,0.7770063304063712,0.02060002088546753
0.15,0.26464226841926575,0.2709277853625998,0.9768000245094299,0.7785626535626535,0.02319997549057007
0.155,0.26309898495674133,0.26981745361853915,0.9750999808311462,0.7793046866988002,0.02490001916885376
0.16,0.2619536817073822,0.26897390545583477,0.9739000201225281,0.7801622343156381,0.026099979877471924
0.165,0.2604728043079376,0.2678934513363931,0.9722999930381775,0.7813432068291679,0.02770000696182251
0.17,0.25899720191955566,0.2668148931666581,0.9707000255584717,0.7822190172040795,0.02929997444152832
0.17500000000000002,0.25698521733283997,0.26534352615191015,0.968500018119812,0.7834796076406815,0.03149998188018799
0.18,0.2555840015411377,0.26433344584658447,0.9668999910354614,0.7839487020374393,0.033100008964538574
0.185,0.2537413239479065,0.26297163748348273,0.964900016784668,0.7852627215255467,0.03509998321533203
0.19,0.2523641288280487,0.2619787560907168,0.9632999897003174,0.785736530675802,0.03670001029968262
0.195,0.25087979435920715,0.26089827907263935,0.9616000056266785,0.7865016638935108,0.03839999437332153
0.2,0.24903008341789246,0.2595144624062109,0.9595999717712402,0.7877240516882034,0.040400028228759766
0.20500000000000002,0.24779291450977325,0.25860250461477247,0.9581999778747559,0.7884575245251513,0.04180002212524414
0.21,0.2464882880449295,0.2576173508047659,0.9567999839782715,0.7894021739130435,0.043200016021728516
0.215,0.2444392591714859,0.2560914172996333,0.9545000195503235,0.790780513357779,0.045499980449676514
0.22,0.24262675642967224,0.25472625492125983,0.9524999856948853,0.792020997375328,0.047500014305114746
0.225,0.24073071777820587,0.25329410026370475,0.9503999948501587,0.7932449494949495,0.04960000514984131
0.23,0.23933453857898712,0.2522231488022315,0.9488999843597412,0.7943935082727368,0.05110001564025879
0.23500000000000001,0.23700834810733795,0.2504579410434059,0.9463000297546387,0.7960477649793934,0.05369997024536133
0.24,0.23576484620571136,0.24951301063604614,0.9448999762535095,0.7968038945920203,0.05510002374649048
0.245,0.23451057076454163,0.2485538646412957,0.9434999823570251,0.7976682564917859,0.056500017642974854
0.25,0.2324521690607071,0.24700050244560887,0.941100001335144,0.7987461481245351,0.05889999866485596
0.255,0.23041994869709015,0.24544093128362005,0.9387999773025513,0.800063911376225,0.06120002269744873
0.26,0.2284928411245346,0.2439599046334481,0.9366000294685364,0.8013025838137946,0.06339997053146362
0.265,0.22639286518096924,0.24233876160752515,0.9341999888420105,0.8027189038749732,0.0658000111579895
0.27,0.22461430728435516,0.2409507687627387,0.932200014591217,0.8041192877065008,0.06779998540878296
0.275,0.22356511652469635,0.24013438486002953,0.9309999942779541,0.8047261009667025,0.0690000057220459
0.28,0.22245585918426514,0.23927703493062277,0.9297000169754028,0.8052059804237927,0.07029998302459717
0.28500000000000003,0.22070106863975525,0.2379013411865366,0.9276999831199646,0.8066185189177536,0.0723000168800354
0.29,0.21930742263793945,0.23678192817426041,0.9261999726295471,0.8078168862016843,0.07380002737045288
0.295,0.21776337921619415,0.23557267298382734,0.9243999719619751,0.8088489831241886,0.0756000280380249
0.3,0.21592485904693604,0.23414102528261224,0.9222000241279602,0.8099110821947517,0.0777999758720398
0.305,0.2137601524591446,0.23244906073292737,0.9196000099182129,0.8112222705524141,0.08039999008178711
0.31,0.21179668605327606,0.2308662303112056,0.9174000024795532,0.8126226291693918,0.08259999752044678
0.315,0.21041704714298248,0.22976309348725157,0.9157999753952026,0.8136055907403363,0.08420002460479736
0.32,0.20875254273414612,0.22844445071405123,0.9138000011444092,0.8146202670168528,0.08619999885559082
0.325,0.20773589611053467,0.22763082256396558,0.9125999808311462,0.8152531229454306,0.08740001916885376
0.33,0.20607128739356995,0.22630275539479464,0.9106000065803528,0.8164946189325719,0.08939999341964722
0.335,0.20494872331619263,0.2254165535292015,0.9092000126838684,0.817091948966124,0.09079998731613159
0.34,0.20296451449394226,0.22382500458773297,0.9067999720573425,0.8184825760917512,0.09320002794265747
0.34500000000000003,0.20197725296020508,0.223056055550283,0.9054999947547913,0.8191054665930425,0.09450000524520874
0.35000000000000003,0.20033563673496246,0.22173285260013142,0.9035000205039978,0.8199225235196458,0.0964999794960022
0.355,0.19826777279376984,0.22002860219454,0.9010999798774719,0.8213294861835534,0.09890002012252808
0.36,0.19618114829063416,0.21831866497190072,0.8985999822616577,0.8226129534831961,0.10140001773834229
0.365,0.1945464313030243,0.21698241751826344,0.8966000080108643,0.823667187151461,0.10339999198913574
0.37,0.19294634461402893,0.2156547869572203,0.8946999907493591,0.8247457248239634,0.10530000925064087
0.375,0.1911429464817047,0.2141897628148112,0.8924000263214111,0.8256387270282385,0.10759997367858887
0.38,0.1890856921672821,0.2124797093599,0.8899000287055969,0.8271715923137432,0.11009997129440308
0.385,0.18757571280002594,0.21128149133567525,0.8877999782562256,0.8278891642261771,0.11220002174377441
0.39,0.18512609601020813,0.20930028109984455,0.8845000267028809,0.8288298473713963,0.11549997329711914
0.395,0.18415530025959015,0.2085091687630916,0.8831999897956848,0.8293704710144928,0.11680001020431519
0.4,0.1828257143497467,0.20735591245073437,0.8816999793052673,0.830668027673812,0.11830002069473267
0.405,0.1815476417541504,0.20632758727465478,0.8798999786376953,0.8313444709626094,0.12010002136230469
0.41000000000000003,0.1799883246421814,0.20504479137741372,0.8777999877929688,0.8320802005012531,0.12220001220703125
0.41500000000000004,0.1781941056251526,0.203510854275818,0.8755999803543091,0.8337140246687985,0.12440001964569092
0.42,0.17644362151622772,0.20204240001109297,0.8733000159263611,0.8348791938623612,0.12669998407363892
0.425,0.17482712864875793,0.20067392564673725,0.8712000250816345,0.8358585858585859,0.12879997491836548
0.43,0.17404963076114655,0.20003405791180612,0.8701000213623047,0.8362257211814734,0.1298999786376953
0.435,0.17323347926139832,0.19934808272349683,0.8690000176429749,0.8365937859608745,0.13099998235702515
0.44,0.17234614491462708,0.19860122445047823,0.8677999973297119,0.8370592302373819,0.13220000267028809
0.445,0.17096343636512756,0.19739457330724655,0.866100013256073,0.8382403879459647,0.133899986743927
0.45,0.1698789745569229,0.19648274287784814,0.8646000027656555,0.8388850335415221,0.13539999723434448
0.455,0.16873759031295776,0.19552444687862108,0.8629999756813049,0.8397450753186558,0.13700002431869507
0.46,0.16709935665130615,0.1941886728963902,0.8604999780654907,0.8405578152237071,0.13950002193450928
0.465,0.16567319631576538,0.1929798408379441,0.8585000038146973,0.8414676761793827,0.14149999618530273
0.47000000000000003,0.1642511636018753,0.19172541107501898,0.8567000031471252,0.8426520368857243,0.14329999685287476
0.47500000000000003,0.1630675345659256,0.19072227076480264,0.8550000190734863,0.8436257309941521,0.14499998092651367
0.48,0.16140922904014587,0.18931413149850457,0.8525999784469604,0.8448275862068966,0.14740002155303955
0.485,0.15907037258148193,0.1873841130111394,0.8489000201225281,0.8454470491223937,0.15109997987747192
0.49,0.1572299599647522,0.18582904627666647,0.8460999727249146,0.8465902375605721,0.15390002727508545
0.495,0.15611541271209717,0.1849270377557895,0.8442000150680542,0.8468372423596304,0.1557999849319458
0.5,0.15403972566127777,0.18307549522187722,0.8414000272750854,0.8483479914428333,0.15859997272491455
0.505,0.15261216461658478,0.18181102026466078,0.8393999934196472,0.8494162497021682,0.16060000658035278
0.51,0.15104597806930542,0.18039647877664816,0.8373000025749207,0.8507106174608862,0.16269999742507935
0.515,0.14979510009288788,0.17930942395671234,0.8353999853134155,0.8514484079482882,0.16460001468658447
0.52,0.14819516241550446,0.17781997362086033,0.8334000110626221,0.8528917686585074,0.16659998893737793
0.525,0.1467629224061966,0.17656751087471426,0.8312000036239624,0.8535851780558229,0.1687999963760376
0.53,0.14490599930286407,0.17485942543667793,0.8287000060081482,0.8551948835525522,0.1712999939918518
0.535,0.14371170103549957,0.17377473584397674,0.8270000219345093,0.8562273276904474,0.17299997806549072
0.54,0.14222556352615356,0.17239462002840908,0.824999988079071,0.8573333333333333,0.17500001192092896
0.545,0.14124247431755066,0.17147319201374134,0.8237000107765198,0.8580793978390191,0.17629998922348022
0.55,0.13998720049858093,0.17034218426776587,0.8217999935150146,0.8593331710878559,0.17820000648498535
0.555,0.13861161470413208,0.16905916439409532,0.8198999762535095,0.8604707891206245,0.18010002374649048
0.56,0.13685932755470276,0.16743250082196598,0.8173999786376953,0.8617567898213849,0.1826000213623047
