,step,time stamp,loss,loss_pred,loss_cov,loss_risk,loss_aux,selective_loss,empirical_coverage,hard_coverage,empirical_risk,selective_acc,raw_acc,selective_risk,R_hat,mu,alpha_risk
95,96,2026/01/31 07:39:24,0.1181153992351632,0.0492009195757988,0.0001064502950474,0.0,0.1836234692115182,0.0526073289895281,0.8039905743096203,0.8062849440894568,0.0394155569865514,0.99108953102709,0.9394718450479234,0.018597485350308,0.0,0.0,0.1000000000000005
96,97,2026/01/31 07:39:49,0.1250173876079888,0.0544668746525987,0.0001001584568496,0.0,0.1923628297809975,0.057671945210332,0.8022169760240915,0.8047623801916933,0.0436281689023152,0.9893069196813784,0.9372004792332268,0.0217686566916969,0.0,0.0,0.1000000000000005
97,98,2026/01/31 07:40:13,0.1130210000652665,0.0451194085225391,0.0001075926721834,0.0,0.1774796261764563,0.0485623740686323,0.8049918057057804,0.8077326277955271,0.0363043514556421,0.9913790738239836,0.9413688099041534,0.0180882621502961,0.0,0.0,0.1000000000000005
98,99,2026/01/31 07:40:38,0.1157223514069954,0.0456854344074861,0.0001124983628116,0.0,0.182159320936321,0.0492853820829774,0.802714544363296,0.8052366214057508,0.0365697718552721,0.9915792837310524,0.9400708865814696,0.0178784930188887,0.0,0.0,0.1000000000000005
99,100,2026/01/31 07:41:03,0.1177327705862613,0.049838281281221,0.0001081729692813,0.0,0.1821657251150082,0.053299816313405,0.8031914401739931,0.8057607827476039,0.0399147856775254,0.9907527470741028,0.940145766773163,0.0191874981994707,0.0,0.0,0.1000000000000005
100,101,2026/01/31 07:41:29,0.0854638502323113,0.0285972403793836,3.5691893745815475e-05,0.0,0.1411883193083083,0.0297393810149794,0.8099032116774172,0.8130241613418531,0.0231153858623232,0.9952933714031792,0.9539486821086262,0.0129287862903274,0.0,0.0,0.1000000000000005
101,102,2026/01/31 07:41:53,0.0686880923367251,0.019819843103758,3.086253127276431e-05,0.0,0.1165687406060699,0.0208074441432548,0.8142067866203503,0.8178664137380192,0.0160872638902475,0.9972991781493726,0.9618610223642172,0.0087664700619067,0.0,0.0,0.1000000000000005
102,103,2026/01/31 07:42:18,0.0595384812809693,0.0155064261417252,2.77338616708908e-05,0.0,0.1026830530454651,0.0163939097455848,0.8159328891446416,0.8200379392971247,0.0125952633090329,0.997946377569875,0.9665535143769968,0.0072390188257724,0.0,0.0,0.1000000000000005
103,104,2026/01/31 07:42:43,0.0581523550959964,0.0158388377122652,2.389734132080026e-05,0.0,0.0997011576907132,0.016603552606165,0.8174209044383357,0.8216603434504792,0.0128769172577205,0.9978573838361916,0.9681509584664536,0.006774698249466,0.0,0.0,0.1000000000000005
104,105,2026/01/31 07:43:07,0.0561582613349579,0.0151714482575286,3.0177068807507858e-05,0.0,0.0961794081016089,0.0161371144708603,0.8138979861911494,0.8186900958466453,0.0123352409547236,0.997956597576507,0.9683506389776356,0.0066166153577819,0.0,0.0,0.1000000000000005
105,106,2026/01/31 07:43:33,0.0521526498119004,0.0122717478500006,2.107461114319042e-05,0.0,0.0913591642980092,0.0129461353719115,0.8146707316557058,0.8203374600638977,0.0099593710411673,0.9984077731260476,0.9705720846645368,0.005778261284811,0.0,0.0,0.1000000000000005
106,107,2026/01/31 07:43:58,0.0487699156222394,0.0114563986043127,1.709908314420665e-05,0.0,0.0855362619966649,0.0120035692567404,0.8149307109296512,0.8219349041533547,0.0093056696062437,0.998566349474386,0.9724940095846646,0.0053489704344112,0.0,0.0,0.1000000000000005
107,108,2026/01/31 07:44:22,0.047141945276695,0.0110934674189375,1.3352157828456928e-05,0.0,0.082763153904924,0.0115207364662184,0.818024202848014,0.8244558706070287,0.0090660990659183,0.9986717619073276,0.9726687300319488,0.0050875491659029,0.0,0.0,0.1000000000000005
108,109,2026/01/31 07:44:47,0.0438817745854203,0.0085160755150662,1.1935671786987607e-05,0.0,0.0788655321444042,0.0088980170346189,0.8153024671938472,0.8225089856230032,0.006936889608947,0.9989689478097252,0.974765375399361,0.004663868971651,0.0,0.0,0.1000000000000005
109,110,2026/01/31 07:45:12,0.0434936807928279,0.0087328353315032,1.8866536843775565e-05,0.0,0.0776507972141567,0.0093365645061392,0.8167802358206849,0.8238069089456869,0.0071049002348817,0.9991801381111144,0.9751397763578274,0.0042945967456058,0.0,0.0,0.1000000000000005
110,111,2026/01/31 07:45:38,0.0457215957438793,0.010541745379698,1.991688797546066e-05,0.0,0.0802641057918151,0.0111790858142185,0.8142007092317454,0.8214606629392971,0.0085625028655754,0.998813383685895,0.9735672923322684,0.0046227683615201,0.0,0.0,0.1000000000000005
111,112,2026/01/31 07:46:02,0.0435352020037059,0.009378658951269,1.646765583458024e-05,0.0,0.0771647801432318,0.009905623943774,0.8143395408273886,0.8220097843450479,0.0076277311281345,0.998940071168418,0.9745656948881788,0.0044243387697925,0.0,0.0,0.1000000000000005
112,113,2026/01/31 07:46:27,0.0420967915211432,0.0079317342292088,1.1214417715670255e-05,0.0,0.0759029871852586,0.0082905956115514,0.8172243675484825,0.8246555511182109,0.0064862585506035,0.999156752904764,0.9759884185303516,0.0042092259043452,0.0,0.0,0.1000000000000005
113,114,2026/01/31 07:46:52,0.040666737392866,0.009465579393531,1.0889254016770072e-05,0.0,0.0715194391949584,0.0098140355141553,0.816763371514817,0.8256539536741214,0.0077020629493597,0.9989979836506584,0.9766124201277956,0.0042555215619742,0.0,0.0,0.1000000000000005
114,115,2026/01/31 07:47:16,0.0409755909223311,0.0087447243939025,1.152115893221364e-05,0.0,0.0728377804707604,0.0091134014884575,0.8169808561047807,0.8257537939297125,0.007113237410022,0.999000775357024,0.9763877795527156,0.0041847591252682,0.0,0.0,0.1000000000000005
115,116,2026/01/31 07:47:42,0.0429268578400674,0.0094920431766599,1.5880582950307544e-05,0.0,0.0758534939334796,0.0100002218262491,0.81459951572144,0.8236321884984026,0.0076885630291836,0.9989914044785424,0.97466553514377,0.0043134652650929,0.0,0.0,0.1000000000000005
116,117,2026/01/31 07:48:07,0.0409509543234262,0.0090265712528206,1.7896598069337604e-05,0.0,0.0723026464618861,0.0095992623850667,0.8154991272920237,0.8249800319488818,0.0073330393098235,0.9990570766095536,0.9762879392971248,0.0043778750768746,0.0,0.0,0.1000000000000005
117,118,2026/01/31 07:48:31,0.0440897502945349,0.0096908971591415,1.3501443315858003e-05,0.0,0.0780565570206783,0.0101229433534137,0.8152132759840724,0.8246805111821086,0.0078909990300361,0.9989723443223264,0.9751647364217252,0.0042432383113442,0.0,0.0,0.1000000000000005
118,119,2026/01/31 07:48:56,0.0412934529059492,0.0086185780187217,1.6961401326935405e-05,0.0,0.0734255631385853,0.009161342865231,0.8157531002078193,0.8249051517571885,0.0070492308519887,0.9992163918269708,0.9762130591054312,0.0041013426428583,0.0,0.0,0.1000000000000005
119,120,2026/01/31 07:49:21,0.0386579551409703,0.0079888314605294,8.221095860484037e-06,0.0,0.0690640039926472,0.0082519065332822,0.816713299614172,0.8270267571884984,0.0065301455313357,0.9991588775342264,0.977510982428115,0.0040313392519034,0.0,0.0,0.1000000000000005
120,121,2026/01/31 07:49:46,0.0400738800271821,0.0095409590106743,1.522516570615519e-05,0.0,0.0701195957442632,0.0100281643086133,0.8149303426376928,0.8252296325878594,0.0077410164042212,0.9988163669650166,0.9768370607028752,0.0043593397194418,0.0,0.0,0.1000000000000005
121,122,2026/01/31 07:50:11,0.0387584300839696,0.0089972267454019,1.1246804658280444e-05,0.0,0.0681597355964441,0.0093571245119856,0.8183696947920437,0.8296974840255591,0.0073234942323638,0.9989691020581668,0.9780601038338658,0.0041984651868526,0.0,0.0,0.1000000000000005
122,123,2026/01/31 07:50:36,0.0431694078375213,0.0107117316257149,1.81686926820842e-05,0.0,0.0750456859057132,0.0112931298005718,0.8144678564879079,0.824855231629393,0.0087039054448778,0.99881810083176,0.9759884185303516,0.0045151320344116,0.0,0.0,0.1000000000000005
123,124,2026/01/31 07:51:00,0.0484913939925523,0.0128943486713444,2.7467003357558155e-05,0.0,0.0832094953130609,0.0137732927702343,0.8105699077200966,0.8200379392971247,0.0104165108280833,0.9984680692227884,0.9736421725239616,0.0051381237040193,0.0,0.0,0.1000000000000005
124,125,2026/01/31 07:51:25,0.0485690505818103,0.012277275440655,2.625447289876927e-05,0.0,0.0840206828456336,0.013117418577597,0.812959788706356,0.8232328274760383,0.0099637972409673,0.9982996030737415,0.972019768370607,0.0054410637219469,0.0,0.0,0.1000000000000005
125,126,2026/01/31 07:51:51,0.0355806614111621,0.0076866002185061,8.686846942187338e-06,0.0,0.0631967436242551,0.0079645793237827,0.8190843980914106,0.8308206869009584,0.0062570720167158,0.9993608268305136,0.9792332268370608,0.0041654864073204,0.0,0.0,0.1000000000000005
126,127,2026/01/31 07:52:16,0.028300229346933,0.0061021103455235,1.970368818403633e-06,0.0,0.0504352966347298,0.0061651621521197,0.8239345906641536,0.8358126996805112,0.0050139556037851,0.9995784485302032,0.9840005990415336,0.0036002029806149,0.0,0.0,0.1000000000000005
127,128,2026/01/31 07:52:40,0.0277649459991449,0.0051477734429446,7.450054146162959e-07,0.0,0.0503582783897344,0.0051716136189695,0.8242849107748403,0.8361871006389776,0.0042350650653421,0.999701862518018,0.9842501996805112,0.0032688726257449,0.0,0.0,0.1000000000000005
128,129,2026/01/31 07:53:05,0.0247010070705613,0.0051793877761394,2.430928077138232e-06,0.0,0.0441448366218886,0.005257177474602,0.8268122343590465,0.8405551118210862,0.0042721256145094,0.9996120078495137,0.9857228434504792,0.0032166347797281,0.0,0.0,0.1000000000000005
129,130,2026/01/31 07:53:30,0.0248720880341939,0.0053846510484243,7.928968636098346e-06,0.0,0.0441057979153058,0.005638378040014,0.8242514881843956,0.837734624600639,0.0044405037327446,0.9996130710211806,0.9864466853035144,0.0031716597739595,0.0,0.0,0.1000000000000005
