threshold,coverage,risk,error,accuracy
0.0,1.0,0.0014054530765861273,0.0,1.0
0.005,0.9995999932289124,0.0014024007832631469,0.0,1.0
0.01,0.9995999932289124,0.0014024007832631469,0.0,1.0
0.015,0.9995999932289124,0.0014024007832631469,0.0,1.0
0.02,0.9994000196456909,0.0014016682980582118,0.0,1.0
0.025,0.9994000196456909,0.0014016682980582118,0.0,1.0
0.03,0.9991999864578247,0.0014014432672411203,0.0,1.0
0.035,0.9990000128746033,0.0014009689912199974,0.0,1.0
0.04,0.9990000128746033,0.0014009689912199974,0.0,1.0
0.045,0.9990000128746033,0.0014009689912199974,0.0,1.0
0.05,0.9987999796867371,0.0014005122939124703,0.0,1.0
0.055,0.9987999796867371,0.0014005122939124703,0.0,1.0
0.06,0.9987999796867371,0.0014005122939124703,0.0,1.0
0.065,0.9987999796867371,0.0014005122939124703,0.0,1.0
0.07,0.9986000061035156,0.0014000735245645046,0.0,1.0
0.075,0.9986000061035156,0.0014000735245645046,0.0,1.0
0.08,0.9986000061035156,0.0014000735245645046,0.0,1.0
0.085,0.9986000061035156,0.0014000735245645046,0.0,1.0
0.09,0.9986000061035156,0.0014000735245645046,0.0,1.0
0.095,0.9986000061035156,0.0014000735245645046,0.0,1.0
0.1,0.9983999729156494,0.0013996018096804619,0.0,1.0
0.105,0.9983999729156494,0.0013996018096804619,0.0,1.0
0.11,0.998199999332428,0.0013991944724693894,0.0,1.0
0.115,0.998199999332428,0.0013991944724693894,0.0,1.0
0.12,0.9980000257492065,0.0013988807331770658,0.0,1.0
0.125,0.9980000257492065,0.0013988807331770658,0.0,1.0
0.13,0.9980000257492065,0.0013988807331770658,0.0,1.0
0.135,0.9980000257492065,0.0013988807331770658,0.0,1.0
0.14,0.9980000257492065,0.0013988807331770658,0.0,1.0
0.145,0.9980000257492065,0.0013988807331770658,0.0,1.0
0.15,0.9980000257492065,0.0013988807331770658,0.0,1.0
0.155,0.9977999925613403,0.0013984567485749722,0.0,1.0
0.16,0.9977999925613403,0.0013984567485749722,0.0,1.0
0.165,0.9977999925613403,0.0013984567485749722,0.0,1.0
0.17,0.9976000189781189,0.0013980282237753272,0.0,1.0
0.17500000000000002,0.9976000189781189,0.0013980282237753272,0.0,1.0
0.18,0.9976000189781189,0.0013980282237753272,0.0,1.0
0.185,0.9973999857902527,0.0013977702474221587,0.0,1.0
0.19,0.9973999857902527,0.0013977702474221587,0.0,1.0
0.195,0.9972000122070312,0.0013974003959447145,0.0,1.0
0.2,0.9972000122070312,0.0013974003959447145,0.0,1.0
0.20500000000000002,0.9972000122070312,0.0013974003959447145,0.0,1.0
0.21,0.996999979019165,0.0013972532469779253,0.0,1.0
0.215,0.996999979019165,0.0013972532469779253,0.0,1.0
0.22,0.996999979019165,0.0013972532469779253,0.0,1.0
0.225,0.9968000054359436,0.0013970275176689029,0.0,1.0
0.23,0.9968000054359436,0.0013970275176689029,0.0,1.0
0.23500000000000001,0.9965999722480774,0.001396660227328539,0.0,1.0
0.24,0.9965999722480774,0.001396660227328539,0.0,1.0
0.245,0.9965999722480774,0.001396660227328539,0.0,1.0
0.25,0.9965999722480774,0.001396660227328539,0.0,1.0
0.255,0.9965999722480774,0.001396660227328539,0.0,1.0
0.26,0.9965999722480774,0.001396660227328539,0.0,1.0
0.265,0.9965999722480774,0.001396660227328539,0.0,1.0
0.27,0.9965999722480774,0.001396660227328539,0.0,1.0
0.275,0.9965999722480774,0.001396660227328539,0.0,1.0
0.28,0.9965999722480774,0.001396660227328539,0.0,1.0
0.28500000000000003,0.9965999722480774,0.001396660227328539,0.0,1.0
0.29,0.9965999722480774,0.001396660227328539,0.0,1.0
0.295,0.996399998664856,0.0013963842066004872,0.0,1.0
0.3,0.996399998664856,0.0013963842066004872,0.0,1.0
0.305,0.996399998664856,0.0013963842066004872,0.0,1.0
0.31,0.996399998664856,0.0013963842066004872,0.0,1.0
0.315,0.9962000250816345,0.001395674073137343,0.0,1.0
0.32,0.9959999918937683,0.0013954637106508017,0.0,1.0
0.325,0.9959999918937683,0.0013954637106508017,0.0,1.0
0.33,0.9959999918937683,0.0013954637106508017,0.0,1.0
0.335,0.9958000183105469,0.001395060564391315,0.0,1.0
0.34,0.9958000183105469,0.001395060564391315,0.0,1.0
0.34500000000000003,0.9958000183105469,0.001395060564391315,0.0,1.0
0.35000000000000003,0.9958000183105469,0.001395060564391315,0.0,1.0
0.355,0.9958000183105469,0.001395060564391315,0.0,1.0
0.36,0.9955999851226807,0.0013947738334536552,0.0,1.0
0.365,0.9955999851226807,0.0013947738334536552,0.0,1.0
0.37,0.9954000115394592,0.001394516322761774,0.0,1.0
0.375,0.9954000115394592,0.001394516322761774,0.0,1.0
0.38,0.9954000115394592,0.001394516322761774,0.0,1.0
0.385,0.9954000115394592,0.001394516322761774,0.0,1.0
0.39,0.9954000115394592,0.001394516322761774,0.0,1.0
0.395,0.9954000115394592,0.001394516322761774,0.0,1.0
0.4,0.9954000115394592,0.001394516322761774,0.0,1.0
0.405,0.9954000115394592,0.001394516322761774,0.0,1.0
0.41000000000000003,0.995199978351593,0.0013942469377070665,0.0,1.0
0.41500000000000004,0.9950000047683716,0.0013939677737653255,0.0,1.0
0.42,0.9950000047683716,0.0013939677737653255,0.0,1.0
0.425,0.9950000047683716,0.0013939677737653255,0.0,1.0
0.43,0.9950000047683716,0.0013939677737653255,0.0,1.0
0.435,0.9950000047683716,0.0013939677737653255,0.0,1.0
0.44,0.9950000047683716,0.0013939677737653255,0.0,1.0
0.445,0.9945999979972839,0.001393369515426457,0.0,1.0
0.45,0.9945999979972839,0.001393369515426457,0.0,1.0
0.455,0.9945999979972839,0.001393369515426457,0.0,1.0
0.46,0.9945999979972839,0.001393369515426457,0.0,1.0
0.465,0.9945999979972839,0.001393369515426457,0.0,1.0
0.47000000000000003,0.9945999979972839,0.001393369515426457,0.0,1.0
0.47500000000000003,0.9945999979972839,0.001393369515426457,0.0,1.0
0.48,0.9945999979972839,0.001393369515426457,0.0,1.0
0.485,0.9944000244140625,0.0013930555433034897,0.0,1.0
0.49,0.9944000244140625,0.0013930555433034897,0.0,1.0
0.495,0.9944000244140625,0.0013930555433034897,0.0,1.0
0.5,0.9944000244140625,0.0013930555433034897,0.0,1.0
0.505,0.9944000244140625,0.0013930555433034897,0.0,1.0
0.51,0.9944000244140625,0.0013930555433034897,0.0,1.0
0.515,0.9941999912261963,0.0013928388943895698,0.0,1.0
0.52,0.9941999912261963,0.0013928388943895698,0.0,1.0
0.525,0.9941999912261963,0.0013928388943895698,0.0,1.0
0.53,0.9941999912261963,0.0013928388943895698,0.0,1.0
0.535,0.9940000176429749,0.0013926648534834385,0.0,1.0
0.54,0.9940000176429749,0.0013926648534834385,0.0,1.0
0.545,0.9940000176429749,0.0013926648534834385,0.0,1.0
0.55,0.9937999844551086,0.0013924010563641787,0.0,1.0
0.555,0.9937999844551086,0.0013924010563641787,0.0,1.0
0.56,0.9937999844551086,0.0013924010563641787,0.0,1.0
0.5650000000000001,0.9936000108718872,0.0013921207282692194,0.0,1.0
0.5700000000000001,0.9932000041007996,0.0013917612377554178,0.0,1.0
0.5750000000000001,0.9932000041007996,0.0013917612377554178,0.0,1.0
0.58,0.9927999973297119,0.0013914393493905663,0.0,1.0
0.585,0.9927999973297119,0.0013914393493905663,0.0,1.0
0.59,0.9923999905586243,0.0013908700784668326,0.0,1.0
0.595,0.9923999905586243,0.0013908700784668326,0.0,1.0
0.6,0.9923999905586243,0.0013908700784668326,0.0,1.0
0.605,0.9923999905586243,0.0013908700784668326,0.0,1.0
0.61,0.9918000102043152,0.0013901637867093086,0.0,1.0
0.615,0.9918000102043152,0.0013901637867093086,0.0,1.0
0.62,0.9918000102043152,0.0013901637867093086,0.0,1.0
0.625,0.9918000102043152,0.0013901637867093086,0.0,1.0
0.63,0.991599977016449,0.0013899352634325624,0.0,1.0
0.635,0.991599977016449,0.0013899352634325624,0.0,1.0
0.64,0.991599977016449,0.0013899352634325624,0.0,1.0
0.645,0.9914000034332275,0.0013897866010665894,0.0,1.0
0.65,0.9909999966621399,0.0013892495771870017,0.0,1.0
0.655,0.9909999966621399,0.0013892495771870017,0.0,1.0
0.66,0.9909999966621399,0.0013892495771870017,0.0,1.0
0.665,0.9909999966621399,0.0013892495771870017,0.0,1.0
0.67,0.9909999966621399,0.0013892495771870017,0.0,1.0
0.675,0.9909999966621399,0.0013892495771870017,0.0,1.0
0.68,0.9904000163078308,0.001388733508065343,0.0,1.0
0.685,0.9900000095367432,0.0013884090585634112,0.0,1.0
0.6900000000000001,0.989799976348877,0.0013882409548386931,0.0,1.0
0.6950000000000001,0.989799976348877,0.0013882409548386931,0.0,1.0
0.7000000000000001,0.9894000291824341,0.0013877961318939924,0.0,1.0
0.705,0.9894000291824341,0.0013877961318939924,0.0,1.0
0.71,0.9894000291824341,0.0013877961318939924,0.0,1.0
0.715,0.9894000291824341,0.0013877961318939924,0.0,1.0
0.72,0.9890000224113464,0.0013874503783881664,0.0,1.0
0.725,0.9887999892234802,0.0013873956631869078,0.0,1.0
0.73,0.9886000156402588,0.0013871195260435343,0.0,1.0
0.735,0.9886000156402588,0.0013871195260435343,0.0,1.0
0.74,0.9882000088691711,0.0013866854133084416,0.0,1.0
0.745,0.9879999756813049,0.0013864922802895308,0.0,1.0
0.75,0.9878000020980835,0.0013862655032426119,0.0,1.0
0.755,0.9872000217437744,0.0013858292950317264,0.0,1.0
0.76,0.9869999885559082,0.0013856000732630491,0.0,1.0
0.765,0.9869999885559082,0.0013856000732630491,0.0,1.0
0.77,0.9869999885559082,0.0013856000732630491,0.0,1.0
0.775,0.9864000082015991,0.001384969800710678,0.0,1.0
0.78,0.9860000014305115,0.0013845845824107528,0.0,1.0
0.785,0.9860000014305115,0.0013845845824107528,0.0,1.0
0.79,0.98580002784729,0.0013844305649399757,0.0,1.0
0.795,0.9854000210762024,0.0013839284656569362,0.0,1.0
0.8,0.9851999878883362,0.0013837616425007582,0.0,1.0
0.805,0.9851999878883362,0.0013837616425007582,0.0,1.0
0.81,0.9851999878883362,0.0013837616425007582,0.0,1.0
0.8150000000000001,0.9847999811172485,0.0013834723504260182,0.0,1.0
0.8200000000000001,0.9846000075340271,0.001383364200592041,0.0,1.0
0.8250000000000001,0.9846000075340271,0.001383364200592041,0.0,1.0
0.8300000000000001,0.9843999743461609,0.0013831894611939788,0.0,1.0
0.835,0.9842000007629395,0.0013830000534653664,0.0,1.0
0.84,0.9833999872207642,0.0013823608169332147,0.0,1.0
0.845,0.9829999804496765,0.001381969079375267,0.0,1.0
0.85,0.982200026512146,0.0013812861870974302,0.0,1.0
0.855,0.9815999865531921,0.0013807949144393206,0.0,1.0
0.86,0.9815999865531921,0.0013807949144393206,0.0,1.0
0.865,0.9810000061988831,0.0013802796602249146,0.0,1.0
0.87,0.9800000190734863,0.0013793942052870989,0.0,1.0
0.875,0.9793999791145325,0.0013789503136649728,0.0,1.0
0.88,0.9789999723434448,0.0013788347132503986,0.0,1.0
0.885,0.9782000184059143,0.0013783478643745184,0.0,1.0
0.89,0.977400004863739,0.0013777328422293067,0.0,1.0
0.895,0.9769999980926514,0.001377489184960723,0.0,1.0
0.9,0.9761999845504761,0.0013768537901341915,0.0,1.0
0.905,0.975600004196167,0.001376357045955956,0.0,1.0
0.91,0.9747999906539917,0.0013755863765254617,0.0,1.0
0.915,0.9739999771118164,0.0013751992955803871,0.0,1.0
0.92,0.9732000231742859,0.001374691491946578,0.0,1.0
0.925,0.9715999960899353,0.001373578212223947,0.0,1.0
0.93,0.9700000286102295,0.0013723764568567276,0.0,1.0
0.935,0.9688000082969666,0.0013713155640289187,0.0,1.0
0.9400000000000001,0.9667999744415283,0.0013703246368095279,0.0,1.0
0.9450000000000001,0.9652000069618225,0.0013694858644157648,0.0,1.0
