tau,coverage,accepted_loss_mass,selective_risk,selective_acc,abstention_rate,risk
0.0,1.0,0.28491055965423584,0.28491055965423584,0.765999972820282,0.0,0.28491055965423584
0.005,0.8313000202178955,0.1540452539920807,0.18530644476413727,0.8456634283065796,0.1686999797821045,0.18530644476413727
0.01,0.8004000186920166,0.13573454320430756,0.16958339512348175,0.8564468026161194,0.1995999813079834,0.16958339512348175
0.015,0.7827000021934509,0.12630148231983185,0.16136640310287476,0.8627826571464539,0.21729999780654907,0.16136640310287476
0.02,0.7696999907493591,0.11905337870121002,0.15467503666877747,0.8680005073547363,0.23030000925064087,0.15467503666877747
0.025,0.758400022983551,0.1136149913072586,0.14980879426002502,0.8714398741722107,0.24159997701644897,0.14980879426002502
0.03,0.7488999962806702,0.10854322463274002,0.14493687450885773,0.875150203704834,0.25110000371932983,0.14493687450885773
0.035,0.7421000003814697,0.1055203378200531,0.14219152927398682,0.8772402405738831,0.2578999996185303,0.14219152927398682
0.04,0.737500011920929,0.10306704044342041,0.13975192606449127,0.8790508508682251,0.26249998807907104,0.13975192606449127
0.045,0.7310000061988831,0.09910425543785095,0.13557353615760803,0.8826265335083008,0.26899999380111694,0.13557353615760803
0.05,0.7260000109672546,0.09665222465991974,0.1331297755241394,0.8845729827880859,0.27399998903274536,0.1331297755241394
0.055,0.7208999991416931,0.09395735710859299,0.13033340871334076,0.8868081569671631,0.2791000008583069,0.13033340871334076
0.06,0.7160999774932861,0.09184270352125168,0.1282540112733841,0.8887026906013489,0.28390002250671387,0.1282540112733841
0.065,0.7123000025749207,0.09003552794456482,0.1264011412858963,0.8897936344146729,0.28769999742507935,0.1264011412858963
0.07,0.7088000178337097,0.08870246261358261,0.12514455616474152,0.8908013701438904,0.2911999821662903,0.12514455616474152
0.075,0.7049000263214111,0.08681235462427139,0.12315555661916733,0.8921833038330078,0.29509997367858887,0.12315555661916733
0.08,0.70169997215271,0.08558004349470139,0.12196101248264313,0.8931167125701904,0.29830002784729004,0.12196101248264313
0.085,0.6991000175476074,0.08431842178106308,0.12060995399951935,0.8942926526069641,0.3008999824523926,0.12060995399951935
0.09,0.6959999799728394,0.08291477710008621,0.11913042515516281,0.8956896662712097,0.30400002002716064,0.11913042515516281
0.095,0.6935999989509583,0.0822129026055336,0.11853071302175522,0.8961937427520752,0.30640000104904175,0.11853071302175522
0.1,0.691100001335144,0.08076900243759155,0.1168702095746994,0.8979887366294861,0.30889999866485596,0.1168702095746994
0.105,0.6883999705314636,0.07955875992774963,0.1155705377459526,0.8988959789276123,0.3116000294685364,0.1155705377459526
0.11,0.6861000061035156,0.07888342440128326,0.11497364938259125,0.899431586265564,0.3138999938964844,0.11497364938259125
0.115,0.6833999752998352,0.07785305380821228,0.1139201819896698,0.9002048373222351,0.3166000247001648,0.1139201819896698
0.12,0.680899977684021,0.07699742168188095,0.11308184266090393,0.9005727767944336,0.319100022315979,0.11308184266090393
0.125,0.6793000102043152,0.07612239569425583,0.1120600551366806,0.9015162587165833,0.3206999897956848,0.1120600551366806
0.13,0.6777999997138977,0.07544328272342682,0.11130611598491669,0.9021835327148438,0.3222000002861023,0.11130611598491669
0.135,0.6758999824523926,0.0744953528046608,0.11021652817726135,0.9032401442527771,0.3241000175476074,0.11021652817726135
0.14,0.6746000051498413,0.07407338172197342,0.10980341583490372,0.9034983515739441,0.3253999948501587,0.10980341583490372
0.145,0.6730999946594238,0.07342198491096497,0.10908035188913345,0.9041746854782104,0.32690000534057617,0.10908035188913345
0.15,0.6715999841690063,0.07270719856023788,0.10825967788696289,0.9048540592193604,0.32840001583099365,0.10825967788696289
0.155,0.6700999736785889,0.07243261486291885,0.10809224843978882,0.9047903418540955,0.32990002632141113,0.10809224843978882
0.16,0.6685000061988831,0.07155667990446091,0.10704066604375839,0.9056095480918884,0.33149999380111694,0.10704066604375839
0.165,0.6674000024795532,0.07089955359697342,0.10623247921466827,0.9063529968261719,0.3325999975204468,0.10623247921466827
0.17,0.6658999919891357,0.07017777115106583,0.1053878515958786,0.9070430994033813,0.33410000801086426,0.1053878515958786
0.17500000000000002,0.664900004863739,0.06982338428497314,0.10501335561275482,0.907354474067688,0.335099995136261,0.10501335561275482
0.18,0.6628999710083008,0.06884858012199402,0.10385967046022415,0.90843266248703,0.3371000289916992,0.10385967046022415
0.185,0.6617000102996826,0.06844013929367065,0.10343077033758163,0.9087199568748474,0.3382999897003174,0.10343077033758163
0.19,0.6604999899864197,0.06811205297708511,0.10312195867300034,0.9090083241462708,0.3395000100135803,0.10312195867300034
0.195,0.6579999923706055,0.06715110689401627,0.10205335170030594,0.9097264409065247,0.34200000762939453,0.10205335170030594
0.2,0.6563000082969666,0.06659635901451111,0.10147242993116379,0.9102544784545898,0.34369999170303345,0.10147242993116379
0.20500000000000002,0.6553999781608582,0.06627628207206726,0.10112340748310089,0.9104363918304443,0.34460002183914185,0.10112340748310089
0.21,0.65420001745224,0.06575533747673035,0.10051258653402328,0.9110363721847534,0.34579998254776,0.10051258653402328
