alpha,tau,accepted_loss_mass,selective_risk,coverage,feasible
0.01,0.98,0.008762344717979431,0.024759382009506226,0.3538999855518341,True
0.02,0.895,0.019704820588231087,0.04332634061574936,0.454800009727478,True
0.05,0.27,0.049835965037345886,0.08381427079439163,0.5946000218391418,True
0.1,0.02,0.09586897492408752,0.13382045924663544,0.7164000272750854,True
0.15,0.005,0.12789765000343323,0.16411864757537842,0.7792999744415283,True
0.2,0.005,0.12863874435424805,0.16464705765247345,0.7813000082969666,True
