method,dataset,seed,alpha,temperature,tau_hat,test_accepted_loss_mass,test_selective_risk,test_coverage,test_selective_acc,violation_gap,violated,auroc,aupr
Energy,cifar100,123,0.01,1.0,0.43462151288986206,0.011100695468485355,0.027814319814186413,0.39910000562667847,0.9731896767727387,0.0011006954684853552,True,0.8587382161313994,0.6280007477013595
Energy,cifar100,123,0.02,1.0,0.3485511839389801,0.021898645907640457,0.043398028179808264,0.5045999884605408,0.9591755846214823,0.0018986459076404567,True,0.8587382161313994,0.6280007477013595
Energy,cifar100,123,0.05,1.0,0.22822822630405426,0.058727312833070755,0.08949605795858256,0.6561999917030334,0.9190795489180128,0.008727312833070752,True,0.8587382161313994,0.6280007477013595
Energy,cifar100,123,0.1,1.0,0.15012304484844208,0.10287858545780182,0.13465783883139726,0.7639999985694885,0.8839005235602094,0.0028785854578018133,True,0.8587382161313994,0.6280007477013595
Energy,cifar100,123,0.15,1.0,0.09902230650186539,0.15213273465633392,0.17986845502224225,0.84579998254776,0.8511468432253488,0.002132734656333929,True,0.8587382161313994,0.6280007477013595
Energy,cifar100,123,0.2,1.0,0.06001527979969978,0.20402264595031738,0.22319510342738075,0.9140999913215637,0.817963023739197,0.004022645950317372,True,0.8587382161313994,0.6280007477013595
