,step,time stamp,loss,loss_pred,loss_cov,loss_risk,loss_aux,selective_loss,empirical_coverage,hard_coverage,empirical_risk,selective_acc,raw_acc,selective_risk,R_hat,mu,alpha_risk
75,76,2026/01/31 08:54:12,0.1529757663393363,0.0708952641810852,0.0001057757437081,0.0,0.2316714444289954,0.0742800881871923,0.8013996340977118,0.8029402955271565,0.0567731666572082,0.9846043925696668,0.9230980431309904,0.0317602699574904,0.0,0.0,0.1000000000000005
76,77,2026/01/31 08:54:37,0.1279392793607978,0.0503075029522466,0.0001071615420908,0.0,0.2021418861782969,0.053736672349893,0.8019405441543165,0.8040135782747604,0.0402305032566975,0.9900427458766168,0.9331319888178914,0.0214009450186198,0.0,0.0,0.1000000000000005
77,78,2026/01/31 08:55:02,0.121001206397915,0.0484783695504878,9.793304530894864e-05,0.0,0.190390185473826,0.0516122270542116,0.8019881318933286,0.8046126198083067,0.0388394073604013,0.9901270607409004,0.9369259185303516,0.0203363568010255,0.0,0.0,0.1000000000000005
78,79,2026/01/31 08:55:27,0.1134393373355507,0.0427179190719994,8.126676959503179e-05,0.0,0.1815602192387413,0.0453184555751828,0.804247971731253,0.8064097444089456,0.0342727544339605,0.9921603408484412,0.9400708865814696,0.0173733736754368,0.0,0.0,0.1000000000000005
79,80,2026/01/31 08:55:51,0.1098800968771544,0.0413182929794961,8.422180939762299e-05,0.0,0.1757468027999987,0.0440133908977761,0.8045988100024458,0.8067092651757188,0.0331268559445064,0.9922250951060092,0.9417432108626198,0.0166864160912486,0.0,0.0,0.1000000000000005
80,81,2026/01/31 08:56:18,0.1085066452217749,0.0370114483370686,0.0001090507385017,0.0,0.176512218654727,0.040501071950986,0.8029511454768075,0.8057607827476039,0.0296790615012779,0.9930502960857112,0.9415435303514376,0.0154455434843397,0.0,0.0,0.1000000000000005
81,82,2026/01/31 08:56:42,0.1123201346959169,0.042698891239818,9.547797241855908e-05,0.0,0.1788860831778651,0.0457541863835705,0.8034212743512358,0.805635982428115,0.0342620677454545,0.991567351757147,0.9396465654952076,0.0172188913705535,0.0,0.0,0.1000000000000005
82,83,2026/01/31 08:57:07,0.1063286686857668,0.0368146024608669,0.0001059961970563,0.0,0.1724508560408418,0.0402064806865022,0.8035141282949966,0.8059105431309904,0.0294838919774435,0.993038022480072,0.9426916932907348,0.0154536788191158,0.0,0.0,0.1000000000000005
83,84,2026/01/31 08:57:32,0.1059220244828314,0.0384548914621765,8.778827527849284e-05,0.0,0.1705799330228243,0.0412641163534535,0.8053116844104121,0.8070337460063898,0.0309033576062859,0.9928769794896768,0.9439646565495208,0.0151414325112661,0.0,0.0,0.1000000000000005
84,85,2026/01/31 08:57:57,0.1049869647517371,0.0378441612620037,6.404568262992894e-05,0.0,0.1700803065023864,0.0398936231513492,0.8056615274935104,0.8084065495207667,0.0304285697267054,0.9936200201320952,0.9437150559105432,0.0143962830629425,0.0,0.0,0.1000000000000005
