method,dataset,seed,alpha,temperature,tau_hat,test_accepted_loss_mass,test_selective_risk,test_coverage,test_selective_acc,violation_gap,violated,auroc,aupr
Energy,cifar10,123,0.01,1.0,0.8397798538208008,0.008913211524486542,0.012678821938136225,0.703000009059906,0.9886201991465149,0.0,False,0.8929197418614845,0.45353332857832884
Energy,cifar10,123,0.02,1.0,0.7225329875946045,0.020821133628487587,0.02451275420632395,0.849399983882904,0.9769248881563457,0.0008211336284875866,True,0.8929197418614845,0.45353332857832884
Energy,cifar10,123,0.05,1.0,0.3896239101886749,0.05766741931438446,0.060498761470408884,0.9531999826431274,0.941670163659253,0.007667419314384458,True,0.8929197418614845,0.45353332857832884
Energy,cifar10,123,0.1,1.0,0.0,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0,False,0.8929197418614845,0.45353332857832884
Energy,cifar10,123,0.15,1.0,0.0,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0,False,0.8929197418614845,0.45353332857832884
Energy,cifar10,123,0.2,1.0,0.0,0.08431481570005417,0.08431481323242188,1.0,0.9206,0.0,False,0.8929197418614845,0.45353332857832884
