alpha,coverage,risk,threshold,accuracy,feasible
0.01,0.0,0.0,0.97,0.0,True
0.02,0.823199987411499,0.019843649119138718,0.33,0.9815354943275452,True
0.05,0.8740000128746033,0.030653154477477074,0.01,0.9709382057189941,True
0.1,1.0,0.08805841952562332,0.0,0.9147999882698059,True
0.15,1.0,0.08805841952562332,0.0,0.9147999882698059,True
0.2,1.0,0.08805841952562332,0.0,0.9147999882698059,True
