tau,id_accept_rate,ood_accept_rate,dar
0.0,1.0,1.0,1.0
0.005,0.8686000108718872,0.2697833478450775,0.2697833478450775
0.01,0.8604999780654907,0.2264520525932312,0.2264520525932312
0.015,0.855400025844574,0.20428703725337982,0.20428703725337982
0.02,0.8519999980926514,0.18869084119796753,0.18869084119796753
0.025,0.8500000238418579,0.17720498144626617,0.17720498144626617
0.03,0.8478999733924866,0.168792262673378,0.168792262673378
0.035,0.8465999960899353,0.16122464835643768,0.16122464835643768
0.04,0.8454999923706055,0.15442532300949097,0.15442532300949097
0.045,0.8443999886512756,0.14923939108848572,0.14923939108848572
0.05,0.8427000045776367,0.14443761110305786,0.14443761110305786
0.055,0.8414000272750854,0.14028887450695038,0.14028887450695038
0.06,0.8399999737739563,0.1366395205259323,0.1366395205259323
0.065,0.8392999768257141,0.13418100774288177,0.13418100774288177
0.07,0.8382999897003174,0.13141518831253052,0.13141518831253052
0.075,0.8374999761581421,0.12934081256389618,0.12934081256389618
0.08,0.8370000123977661,0.12622925639152527,0.12622925639152527
0.085,0.8360000252723694,0.12407805770635605,0.12407805770635605
0.09,0.8356000185012817,0.12177320569753647,0.12177320569753647
0.095,0.8349000215530396,0.11985249072313309,0.11985249072313309
0.1,0.8342999815940857,0.11785494536161423,0.11785494536161423
0.105,0.8339999914169312,0.11601106077432632,0.11601106077432632
0.11,0.8331999778747559,0.11428242176771164,0.11428242176771164
0.115,0.8324999809265137,0.11270743608474731,0.11270743608474731
0.12,0.8320000171661377,0.11097879707813263,0.11097879707813263
0.125,0.8317999839782715,0.10963429510593414,0.10963429510593414
0.13,0.8307999968528748,0.10848186910152435,0.10848186910152435
0.135,0.830299973487854,0.10729102790355682,0.10729102790355682
0.14,0.8296999931335449,0.10544714331626892,0.10544714331626892
0.145,0.829200029373169,0.10417947173118591,0.10417947173118591
0.15,0.8285999894142151,0.10298863053321838,0.10298863053321838
0.155,0.8277000188827515,0.1018362045288086,0.1018362045288086
0.16,0.8269000053405762,0.1006837710738182,0.1006837710738182
0.165,0.8266000151634216,0.09972342103719711,0.09972342103719711
0.17,0.826200008392334,0.09860940277576447,0.09860940277576447
0.17500000000000002,0.8256999850273132,0.09776429086923599,0.09776429086923599
0.18,0.8248999714851379,0.09691917896270752,0.09691917896270752
0.185,0.8245999813079834,0.09576674550771713,0.09576674550771713
0.19,0.8238999843597412,0.09480639547109604,0.09480639547109604
0.195,0.8238000273704529,0.09369237720966339,0.09369237720966339
0.2,0.8235999941825867,0.0927320197224617,0.0927320197224617
0.20500000000000002,0.8235999941825867,0.09227105230093002,0.09227105230093002
0.21,0.8228999972343445,0.09150276333093643,0.09150276333093643
0.215,0.8227999806404114,0.09081131219863892,0.09081131219863892
0.22,0.822700023651123,0.09023509174585342,0.09023509174585342
0.225,0.8217999935150146,0.08954364061355591,0.08954364061355591
0.23,0.8217999935150146,0.08869852125644684,0.08869852125644684
0.23500000000000001,0.8215000033378601,0.08785340934991837,0.08785340934991837
0.24,0.8212000131607056,0.08716195821762085,0.08716195821762085
0.245,0.8209999799728394,0.08670098334550858,0.08670098334550858
0.25,0.8209999799728394,0.0860479399561882,0.0860479399561882
0.255,0.8206999897956848,0.08554855734109879,0.08554855734109879
0.26,0.8198999762535095,0.08512599766254425,0.08512599766254425
0.265,0.8198000192642212,0.08405040204524994,0.08405040204524994
0.27,0.8195000290870667,0.08320528268814087,0.08320528268814087
0.275,0.819100022315979,0.08274431526660919,0.08274431526660919
0.28,0.8185999989509583,0.08189920336008072,0.08189920336008072
0.28500000000000003,0.8181999921798706,0.08116932958364487,0.08116932958364487
0.29,0.8179000020027161,0.08070836216211319,0.08070836216211319
0.295,0.8177000284194946,0.08028580248355865,0.08028580248355865
0.3,0.8174999952316284,0.07990165799856186,0.07990165799856186
0.305,0.8173999786376953,0.0793638601899147,0.0793638601899147
0.31,0.8170999884605408,0.07890288531780243,0.07890288531780243
0.315,0.8166999816894531,0.07840350270271301,0.07840350270271301
0.32,0.8159999847412109,0.07767362892627716,0.07767362892627716
0.325,0.8155999779701233,0.07725107669830322,0.07725107669830322
0.33,0.815500020980835,0.07679010182619095,0.07679010182619095
0.335,0.8154000043869019,0.07640596479177475,0.07640596479177475
0.34,0.8152999877929688,0.07590657472610474,0.07590657472610474
0.34500000000000003,0.8149999976158142,0.07544560730457306,0.07544560730457306
0.35000000000000003,0.8147000074386597,0.0749078094959259,0.0749078094959259
0.355,0.8141999840736389,0.07425476610660553,0.07425476610660553
0.36,0.8137000203132629,0.073832206428051,0.073832206428051
0.365,0.8134999871253967,0.07333282381296158,0.07333282381296158
0.37,0.8130999803543091,0.07279501855373383,0.07279501855373383
0.375,0.8130000233650208,0.07218039035797119,0.07218039035797119
0.38,0.8125,0.07168100774288177,0.07168100774288177
0.385,0.8119999766349792,0.0710279643535614,0.0710279643535614
0.39,0.8119000196456909,0.07033650577068329,0.07033650577068329
0.395,0.8116000294685364,0.06987553834915161,0.06987553834915161
0.4,0.8112999796867371,0.06941456347703934,0.06941456347703934
0.405,0.8111000061035156,0.06891518086194992,0.06891518086194992
0.41000000000000003,0.8109999895095825,0.06830055266618729,0.06830055266618729
0.41500000000000004,0.8105999827384949,0.06783958524465561,0.06783958524465561
0.42,0.8105999827384949,0.06741702556610107,0.06741702556610107
0.425,0.8105000257492065,0.0669560506939888,0.0669560506939888
0.43,0.8105000257492065,0.0665719136595726,0.0665719136595726
0.435,0.8100000023841858,0.06634142249822617,0.06634142249822617
0.44,0.8095999956130981,0.0659957006573677,0.0659957006573677
0.445,0.809499979019165,0.06568838655948639,0.06568838655948639
0.45,0.8093000054359436,0.0653042420744896,0.0653042420744896
0.455,0.8091999888420105,0.06503534317016602,0.06503534317016602
0.46,0.8090000152587891,0.06465119868516922,0.06465119868516922
0.465,0.8090000152587891,0.06422863900661469,0.06422863900661469
0.47000000000000003,0.8087999820709229,0.06392132490873337,0.06392132490873337
0.47500000000000003,0.8086000084877014,0.06346035748720169,0.06346035748720169
0.48,0.8083999752998352,0.0628841444849968,0.0628841444849968
0.485,0.8080999851226807,0.06242317333817482,0.06242317333817482
0.49,0.8079000115394592,0.061962202191352844,0.061962202191352844
0.495,0.8072999715805054,0.06169329956173897,0.06169329956173897
0.5,0.8070999979972839,0.06104025989770889,0.06104025989770889
0.505,0.8066999912261963,0.060732945799827576,0.060732945799827576
0.51,0.8064000010490417,0.0602719746530056,0.0602719746530056
0.515,0.8062000274658203,0.059926245361566544,0.059926245361566544
0.52,0.8059999942779541,0.05950368940830231,0.05950368940830231
0.525,0.8057000041007996,0.05915796011686325,0.05915796011686325
0.53,0.8054999709129333,0.058850646018981934,0.058850646018981934
0.535,0.8052999973297119,0.05850491672754288,0.05850491672754288
0.54,0.8047000169754028,0.0580439455807209,0.0580439455807209
0.545,0.8043000102043152,0.05789028853178024,0.05789028853178024
0.55,0.8039000034332275,0.05739090219140053,0.05739090219140053
0.555,0.8033999800682068,0.05700676143169403,0.05700676143169403
0.56,0.8032000064849854,0.05673786252737045,0.05673786252737045
0.5650000000000001,0.8026999831199646,0.05623847618699074,0.05623847618699074
0.5700000000000001,0.802299976348877,0.05585433170199394,0.05585433170199394
0.5750000000000001,0.8019000291824341,0.055508606135845184,0.055508606135845184
0.58,0.8014000058174133,0.05527811869978905,0.05527811869978905
0.585,0.8011000156402588,0.05481714755296707,0.05481714755296707
0.59,0.8008000254631042,0.054356176406145096,0.054356176406145096
0.595,0.8007000088691711,0.05393362045288086,0.05393362045288086
0.6,0.8004000186920166,0.053434234112501144,0.053434234112501144
0.605,0.7997000217437744,0.053203750401735306,0.053203750401735306
0.61,0.7993999719619751,0.05281960591673851,0.05281960591673851
0.615,0.7991999983787537,0.052397049963474274,0.052397049963474274
0.62,0.7989000082015991,0.05201290547847748,0.05201290547847748
0.625,0.7985000014305115,0.05178242176771164,0.05178242176771164
0.63,0.7982000112533569,0.0513598658144474,0.0513598658144474
0.635,0.7980999946594238,0.051052551716566086,0.051052551716566086
0.64,0.7978000044822693,0.05062999203801155,0.05062999203801155
0.645,0.7976999878883362,0.05036109313368797,0.05036109313368797
0.65,0.7973999977111816,0.050169020891189575,0.050169020891189575
0.655,0.7972999811172485,0.04974646493792534,0.04974646493792534
0.66,0.7968999743461609,0.04947756603360176,0.04947756603360176
0.665,0.7964000105857849,0.049055010080337524,0.049055010080337524
0.67,0.7961999773979187,0.04874769598245621,0.04874769598245621
0.675,0.795799970626831,0.04840196669101715,0.04840196669101715
0.68,0.7953000068664551,0.047979410737752914,0.047979410737752914
0.685,0.7950999736785889,0.04774892330169678,0.04774892330169678
0.6900000000000001,0.7946000099182129,0.04736478254199028,0.04736478254199028
0.6950000000000001,0.7944999933242798,0.04717271029949188,0.04717271029949188
0.7000000000000001,0.7936999797821045,0.04671173915266991,0.04671173915266991
0.705,0.7936000227928162,0.04605869576334953,0.04605869576334953
0.71,0.7932000160217285,0.045712970197200775,0.045712970197200775
