threshold,coverage,risk,error,accuracy
0.0,1.0,0.08805841952562332,0.08520001173019409,0.9147999882698059
0.01,0.8740000128746033,0.030653154477477074,0.02906179428100586,0.9709382057189941
0.02,0.8637999892234802,0.027224715799093246,0.025700390338897705,0.9742996096611023
0.03,0.8604000210762024,0.026595477014780045,0.0251045823097229,0.9748954176902771
0.04,0.8575999736785889,0.02596355229616165,0.024486958980560303,0.9755130410194397
0.05,0.8555999994277954,0.025547418743371964,0.02407670021057129,0.9759232997894287
0.06,0.8533999919891357,0.024899952113628387,0.023435652256011963,0.976564347743988
0.07,0.850600004196167,0.024728840216994286,0.023277699947357178,0.9767223000526428
0.08,0.8492000102996826,0.024761980399489403,0.02331608533859253,0.9766839146614075
0.09,0.8471999764442444,0.02457214705646038,0.023135006427764893,0.9768649935722351
0.1,0.8452000021934509,0.023677168413996696,0.022243261337280273,0.9777567386627197
0.11,0.843999981880188,0.023468419909477234,0.022037923336029053,0.977962076663971
0.12,0.8429999947547913,0.02301863208413124,0.021589577198028564,0.9784104228019714
0.13,0.8417999744415283,0.02304433286190033,0.021620333194732666,0.9783796668052673
0.14,0.8411999940872192,0.022820668295025826,0.02139800786972046,0.9786019921302795
0.15,0.8399999737739563,0.02260953187942505,0.02119046449661255,0.9788095355033875
0.16,0.8388000130653381,0.022160865366458893,0.020743906497955322,0.9792560935020447
0.17,0.8384000062942505,0.02216903306543827,0.020753800868988037,0.979246199131012
0.18,0.8361999988555908,0.02174045331776142,0.020330071449279785,0.9796699285507202
0.19,0.8360000252723694,0.021744782105088234,0.020334899425506592,0.9796651005744934
0.2,0.8342000246047974,0.021306268870830536,0.019899308681488037,0.980100691318512
0.21,0.8334000110626221,0.02132190391421318,0.019918382167816162,0.9800816178321838
0.22,0.8325999975204468,0.021099595353007317,0.01969730854034424,0.9803026914596558
0.23,0.8307999968528748,0.020896460860967636,0.01949930191040039,0.9805006980895996
0.24,0.8299999833106995,0.02091273106634617,0.01951807737350464,0.9804819226264954
0.25,0.8295999765396118,0.02092045359313488,0.01952749490737915,0.9804725050926208
0.26,0.8288000226020813,0.020697375759482384,0.019304990768432617,0.9806950092315674
0.27,0.828000009059906,0.02071264386177063,0.019323647022247314,0.9806763529777527
0.28,0.8267999887466431,0.020496271550655365,0.01910984516143799,0.980890154838562
0.29,0.8263999819755554,0.020504049956798553,0.019119083881378174,0.9808809161186218
0.3,0.8259999752044678,0.02051209658384323,0.01912832260131836,0.9808716773986816
0.31,0.8248000144958496,0.020295359194278717,0.018913686275482178,0.9810863137245178
