alpha,tau_hat,cal_accepted_loss_mass,test_accepted_loss_mass,test_selective_risk,test_coverage,test_selective_acc,test_abstention_rate,violation_gap,violated,auroc,aupr,rc_auc_alm,rc_auc_risk,conservativeness,oracle_coverage,coverage_efficiency,ood_accept_rate,dar,safety_ratio,method,dataset,seed
0.01,0.9409409165382385,0.009635445661842823,0.010127382352948189,0.013288784772157669,0.7620999813079834,0.9880592823028564,0.2379000186920166,0.00012738235294818857,True,0.914889330345377,0.49464505354739235,0.012901218829076383,0.01475934847492072,0.0005049810186028483,0.7595999836921692,0.9819641802442614,0.02473878301680088,0.02473878301680088,30.80586756154262,CRC-Select,cifar10,42
0.02,0.36936935782432556,0.019751399755477905,0.01585804857313633,0.01941247284412384,0.8169000148773193,0.9820051193237305,0.18309998512268066,0.0,False,0.9147676190035982,0.5035099379886585,0.012977549036407465,0.015073448075438478,0.00018674552440643352,0.84170001745224,0.989782587158779,0.07283343374729156,0.07283343374729156,11.216001507654884,CRC-Select,cifar10,42
0.05,5.6134034821297973e-05,0.04962603375315666,0.0494888573884964,0.05340908467769623,0.9265999794006348,0.9488452672958374,0.07340002059936523,0.0,False,0.9157615040066677,0.5113723528743376,0.01343598193776055,0.014844600224555776,0.004296175390481952,0.8802000284194946,1.0458986222673248,0.6136677861213684,0.6136677861213684,1.5099374372537158,CRC-Select,cifar10,42
0.1,0.0,0.08986169844865799,0.09107379615306854,0.09107379615306854,1.0,0.913100004196167,0.0,0.0,False,0.9168311417534748,0.4830402118789634,0.013232667893517736,0.015085245757561566,0.009704074263572698,1.0,1.0,1.0,1.0,0.9999999900000002,CRC-Select,cifar10,42
0.15,0.0,0.09084407985210419,0.08924078196287155,0.08924078196287155,1.0,0.9153000116348267,0.0,0.0,False,0.9149490151099162,0.484360589239451,0.01299817459355529,0.014923461615952732,0.05949070453643798,1.0,1.0,1.0,1.0,0.9999999900000002,CRC-Select,cifar10,42
0.2,0.0,0.08975986391305923,0.09087251126766205,0.09087251126766205,1.0,0.9126999974250793,0.0,0.0,False,0.9154248983197644,0.5037458353554919,0.013124825314115046,0.014751822782344465,0.10834292024374009,1.0,1.0,1.0,1.0,0.9999999900000002,CRC-Select,cifar10,42
