tau,coverage,accepted_loss_mass,selective_risk,selective_acc,abstention_rate,risk
0.0,1.0,0.08326610177755356,0.08326610177755356,0.9211999773979187,0.0,0.08326610177755356
0.005,0.8838000297546387,0.02899005450308323,0.03280160203576088,0.96877121925354,0.11619997024536133,0.03280160203576088
0.01,0.875,0.02652917429804802,0.030319057404994965,0.9711999893188477,0.125,0.030319057404994965
0.015,0.8712000250816345,0.025708917528390884,0.029509777203202248,0.9719926714897156,0.12879997491836548,0.029509777203202248
0.02,0.8687999844551086,0.025495532900094986,0.029345685616135597,0.9721454977989197,0.13120001554489136,0.029345685616135597
0.025,0.8659999966621399,0.02527790144085884,0.02918926440179348,0.9722864031791687,0.1340000033378601,0.02918926440179348
0.03,0.8629999756813049,0.02525905705988407,0.029268896207213402,0.9721900224685669,0.13700002431869507,0.029268896207213402
0.035,0.8610000014305115,0.025055667385458946,0.029100658372044563,0.9723577499389648,0.13899999856948853,0.029100658372044563
0.04,0.8592000007629395,0.02425241842865944,0.028226744383573532,0.9732308983802795,0.14079999923706055,0.028226744383573532
0.045,0.8575999736785889,0.02384357526898384,0.02780267596244812,0.97364741563797,0.14240002632141113,0.02780267596244812
0.05,0.857200026512146,0.023841487243771553,0.02781321480870247,0.9736350774765015,0.142799973487854,0.02781321480870247
0.055,0.8568000197410583,0.023640556260943413,0.027591684833168983,0.9738562107086182,0.14319998025894165,0.027591684833168983
0.06,0.8560000061988831,0.023239515721797943,0.02714896760880947,0.9742990732192993,0.14399999380111694,0.02714896760880947
0.065,0.8551999926567078,0.023234514519572258,0.02716851606965065,0.9742750525474548,0.14480000734329224,0.02716851606965065
0.07,0.8547999858856201,0.023232819512486458,0.02717924490571022,0.9742630124092102,0.14520001411437988,0.02717924490571022
0.075,0.8539999723434448,0.022831737995147705,0.026735056191682816,0.9747072458267212,0.14600002765655518,0.026735056191682816
0.08,0.8539999723434448,0.022831737995147705,0.026735056191682816,0.9747072458267212,0.14600002765655518,0.026735056191682816
0.085,0.8533999919891357,0.02263002097606659,0.026517482474446297,0.974923849105835,0.14660000801086426,0.026517482474446297
0.09,0.8525999784469604,0.022229302674531937,0.026072369888424873,0.9753694534301758,0.14740002155303955,0.026072369888424873
0.095,0.8511999845504761,0.021626299247145653,0.025406837463378906,0.9760338068008423,0.14880001544952393,0.025406837463378906
0.1,0.8501999974250793,0.021223999559879303,0.024963537231087685,0.9764761328697205,0.14980000257492065,0.024963537231087685
