seed,alpha,accepted_loss_mass,coverage,feasible,violated,violation_gap
42,0.02,0.0158580485731363,0.8169000148773193,True,False,0.0
123,0.02,0.0261066891252994,0.8705999851226807,True,True,0.006106689125299401
456,0.02,0.0167855061590671,0.8447999954223633,True,False,0.0
999,0.02,0.0220593940466642,0.8615999817848206,True,True,0.0020593940466641994
