seed,alpha,accepted_loss_mass,coverage,feasible,violated,violation_gap
42,0.01,0.0,0.0,True,False,0
123,0.01,0.0,0.0,True,False,0
456,0.01,0.0,0.0,True,False,0
999,0.01,0.0,0.0,True,False,0
