alpha,tau_hat,cal_accepted_loss_mass,test_accepted_loss_mass,test_selective_risk,test_coverage,test_selective_acc,test_abstention_rate,violation_gap,violated,auroc,aupr,rc_auc_alm,rc_auc_risk,conservativeness,oracle_coverage,coverage_efficiency,method,dataset,seed
0.01,0.9965538382530212,0.00975390337407589,0.00954203400760889,0.03151266276836395,0.3027999997138977,0.9696168899536133,0.6972000002861023,0.0,False,0.8264826376795191,0.5766808094614798,0.07340499453647056,0.09729401901341751,0.0006125450506806376,0.31349998712539673,0.9681021024755037,CRC-Select,cifar100,789
0.02,0.987903356552124,0.019685372710227966,0.01746205799281597,0.043996114283800125,0.3968999981880188,0.9584277868270874,0.6031000018119812,0.0,False,0.8267152400789421,0.5796930286819357,0.07323244154129978,0.0967725752513425,0.000729823932051659,0.40779998898506165,0.9995095551963069,CRC-Select,cifar100,789
0.05,0.8721547722816467,0.04973442852497101,0.047690294682979584,0.0852830782532692,0.5591999888420105,0.9239985942840576,0.4408000111579895,0.0,False,0.8261145037703791,0.5760710622679883,0.07331380830776821,0.09746660078686187,0.0022979259490966825,0.5698999762535095,0.983330465881595,CRC-Select,cifar100,789
0.1,0.2612612545490265,0.09968582540750504,0.09598273038864136,0.13743232190608978,0.6984000205993652,0.881586492061615,0.30159997940063477,0.0,False,0.82519410703957,0.5796683724967913,0.07334476124723084,0.09798197678339235,0.0003873616456985529,0.7089999914169312,0.9939351222349203,CRC-Select,cifar100,789
0.15,0.030218617990612984,0.14980539679527283,0.14890046417713165,0.18568457663059235,0.8019000291824341,0.8453672528266907,0.19809997081756592,0.0,False,0.8262879479469342,0.5756135666716413,0.07338141672374504,0.09834732748137402,0.0008806079626083319,0.803600013256073,0.9978845395151864,CRC-Select,cifar100,789
0.2,0.003715770086273551,0.19982516765594482,0.20223887264728546,0.22849267721176147,0.8851000070571899,0.8134673833847046,0.11489999294281006,0.0022388726472854503,True,0.8260398161091663,0.5785449033993222,0.07314825039566467,0.09751957981693803,-0.0013235390186309703,0.8664000034332275,1.0182363794718963,CRC-Select,cifar100,789
