method,seed,alpha,tau_hat,cal_accepted_loss_mass,test_accepted_loss_mass,test_selective_risk,test_coverage,test_selective_acc,test_abstention_rate,violation_gap,violated,auroc,aupr,rc_auc_alm,rc_auc_risk,conservativeness,oracle_coverage,coverage_efficiency,ood_accept_rate,dar,safety_ratio,dataset,temperature
CRC-Select,42,0.01,0.9409409165382384,0.0096354456618428,0.0101273823529481,0.0132887847721576,0.7620999813079834,0.9880592823028564,0.2379000186920166,0.0001273823529481,True,0.914889330345377,0.4946450535473923,0.0129012188290763,0.0147593484749207,0.0005049810186028,0.7595999836921692,0.9819641802442614,0.0247387830168008,0.0247387830168008,30.80586756154262,cifar10,
CRC-Select,42,0.02,0.3693693578243255,0.0197513997554779,0.0158580485731363,0.0194124728441238,0.8169000148773193,0.9820051193237304,0.1830999851226806,0.0,False,0.9147676190035982,0.5035099379886585,0.0129775490364074,0.0150734480754384,0.0001867455244064,0.84170001745224,0.989782587158779,0.0728334337472915,0.0728334337472915,11.216001507654884,cifar10,
CRC-Select,42,0.05,5.613403482129797e-05,0.0496260337531566,0.0494888573884964,0.0534090846776962,0.9265999794006348,0.9488452672958374,0.0734000205993652,0.0,False,0.9157615040066676,0.5113723528743376,0.0134359819377605,0.0148446002245557,0.0042961753904819,0.8802000284194946,1.0458986222673248,0.6136677861213684,0.6136677861213684,1.5099374372537158,cifar10,
CRC-Select,42,0.1,0.0,0.0898616984486579,0.0910737961530685,0.0910737961530685,1.0,0.913100004196167,0.0,0.0,False,0.9168311417534748,0.4830402118789634,0.0132326678935177,0.0150852457575615,0.0097040742635726,1.0,1.0,1.0,1.0,0.9999999900000002,cifar10,
CRC-Select,42,0.15,0.0,0.0908440798521041,0.0892407819628715,0.0892407819628715,1.0,0.9153000116348268,0.0,0.0,False,0.9149490151099162,0.484360589239451,0.0129981745935552,0.0149234616159527,0.0594907045364379,1.0,1.0,1.0,1.0,0.9999999900000002,cifar10,
CRC-Select,42,0.2,0.0,0.0897598639130592,0.090872511267662,0.090872511267662,1.0,0.9126999974250792,0.0,0.0,False,0.9154248983197644,0.5037458353554919,0.013124825314115,0.0147518227823444,0.10834292024374,1.0,1.0,1.0,1.0,0.9999999900000002,cifar10,
CRC-Select,123,0.01,0.7837837934494019,0.0097061665728688,0.0137045793235301,0.0169317759573459,0.8094000220298767,0.9844329357147216,0.1905999779701233,0.0037045793235301,True,0.9024136492574668,0.464445979237273,0.0122628199861123,0.0141699523164142,-0.0016841830313205,0.0,0.0,,,,cifar10,
CRC-Select,123,0.02,0.0170170161873102,0.0196985155344009,0.0261066891252994,0.029987009242177,0.8705999851226807,0.9715139269828796,0.1294000148773193,0.0061066891252994,True,0.9055260640841702,0.479191471921179,0.0129991846409424,0.0151642730211666,-0.004076659232378,0.8515999913215637,1.0187882017237893,,,,cifar10,
CRC-Select,123,0.05,1.9631272152764723e-05,0.0497517623007297,0.0577596686780452,0.060620978474617,0.9527999758720398,0.9414357542991638,0.0472000241279602,0.0077596686780452,True,0.900635011184003,0.4738209160995776,0.0127426568704827,0.0137506678072396,-0.0056122250854969,0.8934000134468079,1.0685023082288634,,,,cifar10,
CRC-Select,123,0.1,0.0,0.0776572525501251,0.0844289287924766,0.0844289287924766,1.0,0.9186000227928162,0.0,0.0,False,0.9072194039535646,0.5046169682799081,0.0126064278136437,0.0145883045397184,0.0143802002072334,1.0,1.0,,,,cifar10,
