tau,coverage,accepted_loss_mass,selective_risk,selective_acc,abstention_rate,risk
0.0,1.0,0.28723859786987305,0.28723859786987305,0.7670000195503235,0.0,0.28723859786987305
0.005,0.8313000202178955,0.15688718855381012,0.18872512876987457,0.8436184525489807,0.1686999797821045,0.18872512876987457
0.01,0.7975000143051147,0.13580454885959625,0.1702878475189209,0.8571786880493164,0.20249998569488525,0.1702878475189209
0.015,0.7778000235557556,0.12457767128944397,0.16016672551631927,0.8650038838386536,0.22219997644424438,0.16016672551631927
0.02,0.7660999894142151,0.1179373562335968,0.15394511818885803,0.8694687485694885,0.2339000105857849,0.15394511818885803
0.025,0.7554000020027161,0.11264164000749588,0.14911521971225739,0.873047411441803,0.24459999799728394,0.14911521971225739
0.03,0.7484999895095825,0.10890810191631317,0.14550180733203888,0.8760187029838562,0.2515000104904175,0.14550180733203888
0.035,0.741100013256073,0.1052054837346077,0.141958549618721,0.878828763961792,0.258899986743927,0.141958549618721
0.04,0.7361999750137329,0.10264335572719574,0.139423206448555,0.8810105919837952,0.2638000249862671,0.139423206448555
0.045,0.7304999828338623,0.09958110749721527,0.1363191157579422,0.8833675384521484,0.2695000171661377,0.1363191157579422
0.05,0.7257000207901001,0.09710462391376495,0.1338082104921341,0.8853520750999451,0.2742999792098999,0.1338082104921341
0.055,0.7213000059127808,0.09470811486244202,0.13130198419094086,0.8874254822731018,0.27869999408721924,0.13130198419094086
0.06,0.7168999910354614,0.09257032722234726,0.12912584841251373,0.8895243406295776,0.2831000089645386,0.12912584841251373
0.065,0.7135000228881836,0.09116038680076599,0.12776508927345276,0.8905395865440369,0.2864999771118164,0.12776508927345276
0.07,0.7095999717712402,0.08977420628070831,0.12651382386684418,0.8916290998458862,0.29040002822875977,0.12651382386684418
0.075,0.7057999968528748,0.08805409073829651,0.12475784868001938,0.8926041126251221,0.29420000314712524,0.12475784868001938
0.08,0.7026000022888184,0.08660144358873367,0.12325852364301682,0.8936806321144104,0.29739999771118164,0.12325852364301682
0.085,0.7006999850273132,0.08574986457824707,0.1223774328827858,0.8943912982940674,0.29930001497268677,0.1223774328827858
0.09,0.6978999972343445,0.08434655517339706,0.12085764855146408,0.8956870436668396,0.3021000027656555,0.12085764855146408
0.095,0.6952999830245972,0.08346253633499146,0.12003816664218903,0.8963037729263306,0.30470001697540283,0.12003816664218903
0.1,0.6927000284194946,0.08211848139762878,0.11854840815067291,0.8977912664413452,0.30729997158050537,0.11854840815067291
0.105,0.6897000074386597,0.08077673614025116,0.11711865663528442,0.8986515998840332,0.31029999256134033,0.11711865663528442
0.11,0.6879000067710876,0.08018109947443008,0.116559237241745,0.8992586135864258,0.31209999322891235,0.116559237241745
0.115,0.684499979019165,0.07861185073852539,0.1148456558585167,0.9006574153900146,0.31550002098083496,0.1148456558585167
0.12,0.6822999715805054,0.07768592983484268,0.1138589084148407,0.901216447353363,0.31770002841949463,0.1138589084148407
0.125,0.6807000041007996,0.07708575576543808,0.11324483156204224,0.90171879529953,0.31929999589920044,0.11324483156204224
0.13,0.6782000064849854,0.07584047317504883,0.11182611435651779,0.9029784798622131,0.32179999351501465,0.11182611435651779
0.135,0.6757000088691711,0.07469748705625534,0.11054829508066177,0.9040994644165039,0.32429999113082886,0.11054829508066177
0.14,0.6741999983787537,0.07431560009717941,0.11022782325744629,0.9043310880661011,0.32580000162124634,0.11022782325744629
0.145,0.6729000210762024,0.07386019080877304,0.1097639948129654,0.9045920372009277,0.3270999789237976,0.1097639948129654
0.15,0.6714000105857849,0.07346347719430923,0.1094183474779129,0.904825747013092,0.3285999894142151,0.1094183474779129
0.155,0.6697999835014343,0.07311427593231201,0.10915836691856384,0.9048969745635986,0.3302000164985657,0.10915836691856384
0.16,0.6682000160217285,0.07266607880592346,0.10874899476766586,0.9051182270050049,0.3317999839782715,0.10874899476766586
0.165,0.6674000024795532,0.07221423089504242,0.10820231586694717,0.9057536721229553,0.3325999975204468,0.10820231586694717
0.17,0.6664000153541565,0.07169612497091293,0.10758721828460693,0.9063625335693359,0.3335999846458435,0.10758721828460693
0.17500000000000002,0.6650999784469604,0.07136459648609161,0.10729904472827911,0.9064802527427673,0.33490002155303955,0.10729904472827911
0.18,0.6629999876022339,0.07043711841106415,0.10623999685049057,0.9073906540870667,0.3370000123977661,0.10623999685049057
0.185,0.661300003528595,0.07003852725028992,0.10591036826372147,0.9074550271034241,0.33869999647140503,0.10591036826372147
0.19,0.6600000262260437,0.06961570680141449,0.10547833889722824,0.9078788161277771,0.3399999737739563,0.10547833889722824
0.195,0.657800018787384,0.06872221827507019,0.104472815990448,0.9084828495979309,0.34219998121261597,0.104472815990448
0.2,0.6567000150680542,0.06823816150426865,0.10391070693731308,0.9089386463165283,0.3432999849319458,0.10391070693731308
0.20500000000000002,0.6553999781608582,0.06781443953514099,0.10347031056880951,0.9090631604194641,0.34460002183914185,0.10347031056880951
0.21,0.6541000008583069,0.06709633022546768,0.10257809609174728,0.9097996950149536,0.3458999991416931,0.10257809609174728
0.215,0.6527000069618225,0.0666728988289833,0.10214938223361969,0.9102190732955933,0.3472999930381775,0.10214938223361969
0.22,0.6521000266075134,0.06649362295866013,0.1019684448838234,0.9104431867599487,0.3478999733924866,0.1019684448838234
0.225,0.650600016117096,0.06609786301851273,0.10159523785114288,0.9106978178024292,0.34939998388290405,0.10159523785114288
0.23,0.6486999988555908,0.06535636633634567,0.10074975341558456,0.9113611578941345,0.3513000011444092,0.10074975341558456
0.23500000000000001,0.6477000117301941,0.064753457903862,0.09997446089982986,0.9119963049888611,0.3522999882698059,0.09997446089982986
0.24,0.6460999846458435,0.06430923938751221,0.09953450411558151,0.9123974442481995,0.3539000153541565,0.09953450411558151
0.245,0.6449000239372253,0.06391998380422592,0.09911611676216125,0.9126996397972107,0.35509997606277466,0.09911611676216125
0.25,0.6434999704360962,0.06337717920541763,0.0984882339835167,0.9131312966346741,0.3565000295639038,0.0984882339835167
0.255,0.642300009727478,0.06277865916490555,0.09774039685726166,0.9135918021202087,0.357699990272522,0.09774039685726166
0.26,0.6406000256538391,0.062133897095918655,0.09699328243732452,0.9142990708351135,0.3593999743461609,0.09699328243732452
0.265,0.6395000219345093,0.06183892861008644,0.09669887274503708,0.9146208167076111,0.3604999780654907,0.09669887274503708
0.27,0.6380000114440918,0.06141069158911705,0.09625500440597534,0.9150470495223999,0.3619999885559082,0.09625500440597534
0.275,0.6370999813079834,0.0609956718981266,0.09573955833911896,0.9155548810958862,0.3629000186920166,0.09573955833911896
0.28,0.6353999972343445,0.06003446504473686,0.09448295086622238,0.9167453646659851,0.3646000027656555,0.09448295086622238
0.28500000000000003,0.6341999769210815,0.05963367223739624,0.09402976185083389,0.9172185659408569,0.36580002307891846,0.09402976185083389
0.29,0.6330000162124634,0.05922148376703262,0.09355684369802475,0.9175355434417725,0.3669999837875366,0.09355684369802475
0.295,0.6319000124931335,0.05877824127674103,0.09301826357841492,0.918025016784668,0.36809998750686646,0.09301826357841492
0.3,0.6305000185966492,0.05828947573900223,0.0924496054649353,0.9186360239982605,0.36949998140335083,0.0924496054649353
0.305,0.6292999982833862,0.05775678530335426,0.09177941828966141,0.9192754030227661,0.37070000171661377,0.09177941828966141
0.31,0.6281999945640564,0.05725864693522453,0.09114716202020645,0.9197707772254944,0.3718000054359436,0.09114716202020645
0.315,0.6272000074386597,0.057061951607465744,0.09097887575626373,0.9198023080825806,0.37279999256134033,0.09097887575626373
0.32,0.6263999938964844,0.05693747103214264,0.09089634567499161,0.9198595285415649,0.3736000061035156,0.09089634567499161
0.325,0.6251000165939331,0.0565023310482502,0.09038926661014557,0.9203327298164368,0.3748999834060669,0.09038926661014557
0.33,0.6240000128746033,0.055920686572790146,0.08961648494005203,0.9209935665130615,0.37599998712539673,0.08961648494005203
0.335,0.6226000189781189,0.05564289540052414,0.08937182277441025,0.9209765791893005,0.3773999810218811,0.08937182277441025
0.34,0.6216999888420105,0.05534883961081505,0.08902821689844131,0.9213446974754333,0.3783000111579895,0.08902821689844131
