alpha,tau_hat,cal_accepted_loss_mass,test_accepted_loss_mass,test_selective_risk,test_coverage,test_selective_acc,test_abstention_rate,violation_gap,violated,auroc,aupr,rc_auc_alm,rc_auc_risk,conservativeness,oracle_coverage,coverage_efficiency,method,dataset,seed
0.01,0.9865280985832214,0.009754832834005356,0.007794918026775122,0.021938975900411606,0.35530000925064087,0.979453980922699,0.6446999907493591,0.0,False,0.8432291406004233,0.5750436004525749,0.06594768368569817,0.08501494139178883,0.0022028970904648306,0.37549999356269836,0.9307590052421135,posthoc_crc,cifar100,999
0.02,0.9561015963554382,0.019616443663835526,0.01458208728581667,0.03352203965187073,0.4350000023841858,0.9691954255104065,0.5649999976158142,0.0,False,0.8468357073477926,0.5896388791225414,0.06602604755550007,0.08554070184341242,0.0040638916939497,0.46639999747276306,0.9489708709773494,posthoc_crc,cifar100,999
0.05,0.4974974989891052,0.04980599135160446,0.04577021673321724,0.07705423980951309,0.593999981880188,0.9304713606834412,0.406000018119812,0.0,False,0.8450514215372635,0.5808876384832224,0.06589014053027137,0.08532664741613995,0.0036309801042079953,0.6065999865531921,0.9749423679277088,posthoc_crc,cifar100,999
0.1,0.04483122006058693,0.09967897832393646,0.09892262518405914,0.13521409034729004,0.7315999865531921,0.882722795009613,0.26840001344680786,0.0,False,0.8428239873934711,0.5713130789252668,0.06615534475390221,0.08515677805464486,0.005382424592971807,0.7311000227928162,0.984954128230939,posthoc_crc,cifar100,999
0.15,0.006525189615786076,0.14970259368419647,0.14989802241325378,0.18255756795406342,0.8210999965667725,0.8472780585289001,0.17890000343322754,0.0,False,0.8428090132680014,0.5760222305925748,0.06613204189319448,0.08494333455853173,0.00237146914005279,0.8216000199317932,0.9976874181896164,posthoc_crc,cifar100,999
0.2,0.0010633171768859029,0.19979152083396912,0.2030417025089264,0.22617989778518677,0.8977000117301941,0.8130778670310974,0.10229998826980591,0.0030417025089263805,True,0.8441905842305395,0.5790571923691105,0.06594387363404298,0.0851757979593403,-0.0056923359632491954,0.8712999820709229,1.0346608575680867,posthoc_crc,cifar100,999
