alpha,tau_hat,cal_accepted_loss_mass,test_accepted_loss_mass,test_selective_risk,test_coverage,test_selective_acc,test_abstention_rate,violation_gap,violated,auroc,aupr,rc_auc_alm,rc_auc_risk,conservativeness,oracle_coverage,coverage_efficiency,method,dataset,seed
0.01,0.9109109044075012,0.009656930342316628,0.010267381556332111,0.012944253161549568,0.7932000160217285,0.9884014129638672,0.20679998397827148,0.00026738155633211115,True,0.9033507316924617,0.43589340472314553,0.010976134103704765,0.012355931074879506,-0.0010803861171007154,0.7911999821662903,1.0123862703500108,CRC-Select,cifar10,456
0.02,0.15715715289115906,0.01979040540754795,0.016785506159067154,0.019869206473231316,0.8447999954223633,0.9815340638160706,0.15520000457763672,0.0,False,0.9076323623839823,0.4876514449425852,0.011364842344454062,0.012564967981683162,0.00017860017716884655,0.8632000088691711,0.9902687408512015,CRC-Select,cifar10,456
0.05,2.535809289838653e-05,0.04979737475514412,0.04422518238425255,0.047048065811395645,0.9399999976158142,0.9553191661834717,0.06000000238418579,0.0,False,0.9076172931273958,0.4505124584782913,0.011222137342167315,0.012541968788554875,0.00563687011599541,0.8912000060081482,1.0558796885068775,CRC-Select,cifar10,456
0.1,0.0,0.08093610405921936,0.08029063791036606,0.08029063791036606,1.0,0.9243999719619751,0.0,0.0,False,0.9135294966104139,0.4775792353100514,0.01166411325533262,0.012874262960574034,0.02126931250095368,1.0,1.0,CRC-Select,cifar10,456
0.15,0.0,0.08279251307249069,0.07533981651067734,0.07533981651067734,1.0,0.9283999800682068,0.0,0.0,False,0.9073262945320718,0.4674340743142902,0.01160777590812434,0.012476156955147838,0.0708158329129219,1.0,1.0,CRC-Select,cifar10,456
0.2,0.0,0.08427311480045319,0.07740507274866104,0.07740507274866104,1.0,0.9264000058174133,0.0,0.0,False,0.9086699566343771,0.4846116818370505,0.010804797704209557,0.012588862312103266,0.12148423939943315,1.0,1.0,CRC-Select,cifar10,456
