alpha,tau,accepted_loss_mass,selective_risk,coverage,feasible
0.01,1.0,5.220174870146366e-08,5.6130911616492085e-06,0.00930000003427267,True
0.02,0.99,0.018702276051044464,0.044795870780944824,0.41749998927116394,True
0.05,0.84,0.049462541937828064,0.08544228971004486,0.5788999795913696,True
0.1,0.275,0.09969009459018707,0.1385546773672104,0.7195000052452087,True
0.15,0.055,0.14774268865585327,0.18194912374019623,0.8119999766349792,True
0.2,0.01,0.19287799298763275,0.2181384265422821,0.8841999769210815,True
