method,dataset,seed,alpha,temperature,tau_hat,cal_accepted_loss_mass,test_accepted_loss_mass,test_selective_risk,test_coverage,test_selective_acc,violation_gap,violated,auroc,aupr
TempScaled_MSP,cifar100,789,0.01,1.152928352355957,0.9900839924812317,0.009663949720561504,0.009368741884827614,0.02588765296398457,0.3619000017642975,0.9748549323017408,0.0,False,0.8669239085362885,0.6565839421661868
TempScaled_MSP,cifar100,789,0.02,1.152928352355957,0.965965986251831,0.019716134294867516,0.01973598636686802,0.04088665077299565,0.482699990272522,0.9610524135073545,0.0,False,0.8669239085362885,0.6565839421661868
TempScaled_MSP,cifar100,789,0.05,1.152928352355957,0.8403317928314209,0.04972090944647789,0.04920166730880737,0.07824692471336772,0.6287999749183655,0.9293893129770993,0.0,False,0.8669239085362885,0.6565839421661868
TempScaled_MSP,cifar100,789,0.1,1.152928352355957,0.5835835933685303,0.09975414723157883,0.10064057260751724,0.1346542280818295,0.7473999857902527,0.8862724110248863,0.0006405726075172369,True,0.8669239085362885,0.6565839421661868
TempScaled_MSP,cifar100,789,0.15,1.152928352355957,0.402402400970459,0.14974483847618103,0.15212863683700562,0.18395240350098246,0.8270000219345093,0.8483675937122128,0.002128636837005621,True,0.8669239085362885,0.6565839421661868
TempScaled_MSP,cifar100,789,0.2,1.152928352355957,0.25625625252723694,0.1997031271457672,0.20548656582832336,0.22920978501464026,0.8964999914169312,0.8138315672058003,0.005486565828323353,True,0.8669239085362885,0.6565839421661868
